	qseqid	sseqid	pident	length	mismatch	gapopen	qstart	qend	sstart	send	evalue	bitscore	qlen
0	12	7PRX:A	100	133	0	0	1	133	14	146	7.22e-94	273.0	133
1	12	5UC3:A	100	133	0	0	1	133	17	149	7.979999999999999e-94	273.0	133
2	23	4N1Y:B	100	205	0	0	1	205	15	219	7.809999999999999e-147	410.0	205
3	49	8ATY:A	100	199	0	0	1	199	267	465	3.04e-132	382.0	199
4	123	2LBD:A	100	238	0	0	1	238	1	238	1.2699999999999999e-170	472.0	238
5	183	3CJW:A	100	66	0	0	1	66	152	217	6.93e-38	128.0	66
6	257	7PRX:A	100	212	0	0	1	212	14	225	5.5e-156	434.0	212
7	307	3KBA:A	100	47	0	0	1	47	58	104	1.72e-28	103.0	47
8	403	1OSV:B	100	220	0	0	1	220	3	222	2.22e-155	432.0	220
9	409	1QKU:A	100	219	0	0	1	219	25	243	2.75e-156	435.0	219
10	446	4RWV:A	100	123	0	0	1	123	118	240	6.9499999999999995e-81	240.0	123
11	500	1OVL:E	100	203	0	0	1	203	52	254	1.02e-148	416.0	203
12	502	2ACL:H	100	196	0	0	1	196	37	232	6.3e-134	377.0	196
13	522	1XLS:H	100	188	0	0	1	188	48	235	2.73e-130	368.0	188
14	591	2ABI:C	100	47	0	0	1	47	54	100	3.0099999999999997e-28	102.0	47
15	593	1XVP:D	100	70	0	0	1	70	54	123	5.98e-45	146.0	70
16	608	1XJ7:A	100	209	0	0	1	209	25	233	5.11e-153	427.0	209
17	699	1OSV:B	100	219	0	0	1	219	4	222	8.69e-155	431.0	219
18	711	2OVH:A	100	142	0	0	1	142	59	200	5.370000000000001e-97	282.0	142
19	716	5UAN:B	100	185	0	0	1	185	136	320	2.03e-128	366.0	185
20	775	5HJP:C	100	44	0	0	1	44	109	152	2.2899999999999998e-23	90.1	44
21	803	1HJ1:A	100	110	0	0	1	110	16	125	7.269999999999999e-74	221.0	110
22	803	1QKN:A	100	110	0	0	1	110	17	126	1.3e-73	221.0	110
23	847	6TFI:B	100	204	0	0	1	204	86	289	3.5099999999999996e-147	414.0	204
24	895	7PRX:A	100	88	0	0	1	88	14	101	1.4000000000000001e-59	184.0	88
25	895	5UC3:A	100	88	0	0	1	88	17	104	1.5400000000000001e-59	184.0	88
26	940	7AOS:B	100	118	0	0	1	118	33	150	1.44e-78	234.0	118
27	952	1E3K:A	100	251	0	0	1	251	1	251	5.79e-178	491.0	251
28	952	1ZUC:A	100	251	0	0	1	251	1	251	5.79e-178	491.0	251
29	952	1ZUC:B	100	251	0	0	1	251	1	251	5.79e-178	491.0	251
30	952	1A28:A	100	251	0	0	1	251	1	251	5.79e-178	491.0	251
31	952	3HQ5:B	100	251	0	0	1	251	1	251	5.79e-178	491.0	251
32	986	1XIU:B	100	193	0	0	1	193	16	208	1.17e-135	381.0	193
33	997	2XHS:A	100	222	0	0	1	222	17	238	5.9600000000000005e-164	454.0	222
34	1038	5HJP:C	100	75	0	0	1	75	121	195	2.05e-45	148.0	75
35	1065	8ATY:A	100	195	0	0	1	195	267	461	5.5700000000000004e-129	374.0	195
36	1123	6HN6:A	100	238	0	0	1	238	1	238	7.63e-172	475.0	238
37	1182	7AOS:B	100	111	0	0	1	111	33	143	4.5200000000000006e-73	219.0	111
38	1209	1ZH7:A	100	212	0	0	1	212	26	237	1.6499999999999999e-149	417.0	212
39	1209	1ZH7:B	100	212	0	0	1	212	26	237	1.6499999999999999e-149	417.0	212
40	1231	2ZBS:A	100	204	0	0	1	204	16	219	1.68e-141	396.0	204
41	1233	7PRX:A	100	47	0	0	1	47	56	102	1.75e-27	100.0	47
42	1233	5UC3:A	100	47	0	0	1	47	59	105	1.86e-27	100.0	47
43	1267	2NXX:B	100	184	0	0	1	184	28	211	1.6500000000000003e-129	365.0	184
44	1293	4ZJR:B	100	166	0	0	1	166	299	464	2.39e-115	338.0	166
45	1328	8ATY:A	100	189	0	0	1	189	265	453	1.64e-126	367.0	189
46	1356	7AOS:B	100	201	0	0	1	201	33	233	3.9199999999999996e-140	393.0	201
47	1372	4RWV:A	100	212	0	0	1	212	28	239	2.8499999999999996e-150	419.0	212
48	1375	1XVP:D	100	189	0	0	1	189	52	240	9.820000000000001e-132	372.0	189
49	1484	3CJW:A	100	73	0	0	1	73	145	217	6.93e-43	141.0	73
50	1504	3ILZ:A	100	193	0	0	1	193	56	248	1.6e-136	385.0	193
51	1514	3WFF:A	100	93	0	0	1	93	112	204	8.17e-60	186.0	93
52	1592	1Z5X:E	100	199	0	0	1	199	28	226	8.61e-138	387.0	199
53	1609	1OVL:E	100	204	0	0	1	204	52	255	5.28e-149	417.0	204
54	1634	1K4W:A	100	193	0	0	1	193	34	226	1.4299999999999999e-136	384.0	193
55	1662	5HJP:C	100	86	0	0	1	86	130	215	1.37e-54	172.0	86
56	1666	4N73:A	100	196	0	0	1	196	3	198	9.02e-137	383.0	196
57	1753	1YP0:A	100	208	0	0	1	208	27	234	1.65e-147	412.0	208
58	1776	1E3K:B	100	215	0	0	1	215	15	229	4.17e-152	424.0	215
59	1776	1A28:B	100	215	0	0	1	215	15	229	4.17e-152	424.0	215
60	1776	1SR7:B	100	215	0	0	1	215	15	229	4.17e-152	424.0	215
