qseqid	sseqid	pident	length	mismatch	gapopen	qstart	qend	sstart	send	evalue	bitscore	qlen
Q25318_LEIME/3-109	6P4E:B	100	107	0	0	1	107	109	215	2.52e-73	219	107
C9ZQB7_TRYBG/126-201	6EX8:B	100	76	0	0	1	76	1	76	2.25e-53	167	76
C9ZQB4_TRYBG/126-220	6EX8:B	100	95	0	0	1	95	1	95	1.85e-67	204	95
Q4E0J6_TRYCR/123-174	1F2C:A	100	52	0	0	1	52	1	52	2.82e-32	112	52
Q9GPN3_TRYCR/123-335	4QH6:E	100	213	0	0	1	213	1	213	5.41e-160	443	213
CYSP_TRYCR/123-335	4QH6:E	100	213	0	0	1	213	1	213	5.41e-160	443	213
Q598P5_TRYCR/123-335	4QH6:E	100	213	0	0	1	213	1	213	5.41e-160	443	213
Q4DW03_TRYCR/123-335	4QH6:E	100	213	0	0	1	213	1	213	5.41e-160	443	213
Q68D46_HUMAN/1-99	6CZS:A	100	99	0	0	1	99	211	309	2.26e-70	214	99
Q6IBC3_HUMAN/116-332	6CZK:A	100	217	0	0	1	217	93	309	5.07e-166	462	217
CATH_HUMAN/116-332	6CZK:A	100	217	0	0	1	217	93	309	5.07e-166	462	217
CATK_MOUSE/115-328	8V57:A	100	214	0	0	1	214	2	215	5.21e-163	451	214
Q545T0_MOUSE/115-328	8V57:A	100	214	0	0	1	214	2	215	5.21e-163	451	214
CATK_HUMAN/115-328	1BY8:A	100	214	0	0	1	214	96	309	3.82e-162	452	214
CATK_MACFA/115-328	1BY8:A	100	214	0	0	1	214	96	309	3.82e-162	452	214
Q6FHN2_HUMAN/115-328	1BY8:A	100	214	0	0	1	214	96	309	3.82e-162	452	214
CATK_MACMU/115-328	1BY8:A	100	214	0	0	1	214	96	309	3.82e-162	452	214
Q6FHS6_HUMAN/115-328	1BY8:A	100	214	0	0	1	214	96	309	3.82e-162	452	214
Q5QP40_HUMAN/174-258	1BGO:A	100	85	0	0	1	85	1	85	1.84e-59	183	85
Q5QP40_HUMAN/174-258	3O1G:A	100	85	0	0	1	85	1	85	1.84e-59	183	85
Q5QP40_HUMAN/174-258	2ATO:A	100	85	0	0	1	85	1	85	1.84e-59	183	85
Q5QP40_HUMAN/174-258	1ATK:A	100	85	0	0	1	85	1	85	1.84e-59	183	85
Q5QP40_HUMAN/174-258	1Q6K:A	100	85	0	0	1	85	1	85	1.84e-59	183	85
Q5QP40_HUMAN/174-258	1U9V:A	100	85	0	0	1	85	1	85	1.84e-59	183	85
Q5QP40_HUMAN/174-258	1YK7:A	100	85	0	0	1	85	1	85	1.84e-59	183	85
Q5QP40_HUMAN/174-258	4X6J:A	100	85	0	0	1	85	1	85	1.84e-59	183	85
Q5QP40_HUMAN/174-258	4X6H:A	100	85	0	0	1	85	1	85	1.84e-59	183	85
Q5QP40_HUMAN/174-258	4X6I:A	100	85	0	0	1	85	1	85	1.84e-59	183	85
Q5QP40_HUMAN/174-258	2FTD:A	100	85	0	0	1	85	1	85	1.84e-59	183	85
Q5QP40_HUMAN/174-258	2FTD:B	100	85	0	0	1	85	1	85	1.84e-59	183	85
Q5QP40_HUMAN/174-258	1TU6:A	100	85	0	0	1	85	1	85	1.84e-59	183	85
Q5QP40_HUMAN/174-258	1TU6:B	100	85	0	0	1	85	1	85	1.84e-59	183	85
Q5QP40_HUMAN/174-258	5TUN:A	100	85	0	0	1	85	1	85	1.84e-59	183	85
Q5QP40_HUMAN/174-258	6HGY:A	100	85	0	0	1	85	1	85	1.84e-59	183	85
Q5QP40_HUMAN/174-258	6QBS:A	100	85	0	0	1	85	1	85	1.84e-59	183	85
Q5QP40_HUMAN/174-258	6QBS:B	100	85	0	0	1	85	1	85	1.84e-59	183	85
Q5QP40_HUMAN/174-258	7QBL:A	100	85	0	0	1	85	1	85	1.84e-59	183	85
Q5QP40_HUMAN/174-258	4DMY:A	100	85	0	0	1	85	1	85	1.84e-59	183	85
Q5QP40_HUMAN/174-258	4DMY:B	100	85	0	0	1	85	1	85	1.84e-59	183	85
Q5QP40_HUMAN/174-258	4DMX:A	100	85	0	0	1	85	1	85	1.84e-59	183	85
Q5QP40_HUMAN/174-258	1AU0:A	100	85	0	0	1	85	1	85	1.84e-59	183	85
Q5QP40_HUMAN/174-258	2AUZ:A	100	85	0	0	1	85	1	85	1.84e-59	183	85
Q5QP40_HUMAN/174-258	1AU2:A	100	85	0	0	1	85	1	85	1.84e-59	183	85
CATS_SAIBB/115-329	2FQ9:A	100	57	0	0	1	57	2	58	1.89e-30	121	215
CATS_HUMAN/115-330	2FQ9:A	100	57	0	0	1	57	2	58	1.96e-30	121	216
D3DV05_HUMAN/115-330	2FQ9:A	100	57	0	0	1	57	2	58	1.96e-30	121	216
B4DWC9_HUMAN/84-280	2FQ9:A	100	38	0	0	1	38	21	58	4.39e-15	76.3	197
CATS_CANFA/115-330	2FQ9:A	100	57	0	0	1	57	2	58	1.96e-30	121	216
B3KQK4_HUMAN/114-332	3OF9:A	100	219	0	0	1	219	2	220	3.52e-168	464	219
CATL1_HUMAN/114-332	3OF9:A	100	219	0	0	1	219	2	220	3.52e-168	464	219
Q6LAF7_HUMAN/1-175	1MHW:A	100	162	0	0	1	162	13	174	1.96e-120	340	175
Q6LAF7_HUMAN/1-175	1MHW:B	100	162	0	0	1	162	13	174	1.96e-120	340	175
A5PLM9_HUMAN/114-332	1ICF:B	100	41	0	0	179	219	1	41	6.90e-25	95.1	219
A5PLM9_HUMAN/114-332	1ICF:D	100	41	0	0	179	219	1	41	6.90e-25	95.1	219
A5PLM9_HUMAN/114-332	1MHW:C	100	40	0	0	180	219	1	40	5.34e-24	92.8	219
A5PLM9_HUMAN/114-332	1MHW:D	100	40	0	0	180	219	1	40	5.34e-24	92.8	219
Q9HBQ7_HUMAN/1-150	3OF9:A	100	150	0	0	1	150	71	220	1.78e-111	318	150
Q5T8F0_HUMAN/114-223	3OF9:A	100	94	0	0	1	94	2	95	1.12e-66	202	110
Q6T9Z7_BOMMO/124-340	8IUI:B	100	217	0	0	1	217	1	217	5.64e-166	458	217
CPGP2_ZINOF/3-216	1CQD:D	100	214	0	0	1	214	1	214	1.82e-163	452	214
A8DS38_TABDI/134-339	2PRE:B	100	206	0	0	1	206	1	206	1.56e-160	444	206
ERVB_TABDI/1-213	1IWD:A	100	213	0	0	1	213	1	213	1.55e-159	442	213
PAPA2_CARPA/135-348	1YAL:A	100	214	0	0	1	214	1	214	9.67e-164	452	214
A1Y2K3_9ROSI/135-276	3IOQ:A	100	142	0	0	1	142	1	142	4.50e-101	291	142
PAPA3_CARPA/133-346	1PPO:A	100	214	0	0	1	214	1	214	4.43e-155	431	214
Q42673_CARPA/133-346	1PPO:A	100	213	0	0	1	213	1	213	1.80e-154	429	214
PAPA1_CARPA/134-343	3LFY:C	100	210	0	0	1	210	1	210	1.22e-162	449	210
Q3Y6U7_9FABA/2-223	2B1N:A	100	222	0	0	1	222	1	222	1.42e-167	463	222
O23799_ANACO/124-336	6U7D:A	100	213	0	0	1	213	94	306	1.95e-159	445	213
ANAN_ANACO/123-335	6OKJ:B	100	213	0	0	1	213	1	213	2.20e-159	441	213
CYSEP_RICCO/126-342	1S4V:B	100	217	0	0	1	217	2	218	3.45e-162	449	217
B9RAQ2_RICCO/126-342	1S4V:B	100	217	0	0	1	217	2	218	3.45e-162	449	217
