qseqid	sseqid	pident	length	mismatch	gapopen	qstart	qend	sstart	send	evalue	bitscore	qlen
41	1IRU:U	100	187	0	0	1	187	30	216	4.33e-132	372	187
81	1Z7Q:L	100	212	0	0	1	212	1	212	1.10e-158	439	212
81	1Z7Q:Z	100	212	0	0	1	212	1	212	1.10e-158	439	212
81	1FNT:L	100	212	0	0	1	212	1	212	1.10e-158	439	212
81	1FNT:Z	100	212	0	0	1	212	1	212	1.10e-158	439	212
81	4CR4:5	100	212	0	0	1	212	1	212	1.10e-158	439	212
81	4CR2:5	100	212	0	0	1	212	1	212	1.10e-158	439	212
81	4CR3:5	100	212	0	0	1	212	1	212	1.10e-158	439	212
81	4EU2:L	100	212	0	0	1	212	1	212	1.10e-158	439	212
81	4EU2:Z	100	212	0	0	1	212	1	212	1.10e-158	439	212
81	5A5B:5	100	212	0	0	1	212	1	212	1.10e-158	439	212
81	1RYP:L	100	212	0	0	1	212	1	212	1.10e-158	439	212
81	1RYP:Z	100	212	0	0	1	212	1	212	1.10e-158	439	212
95	5M32:J	100	181	0	0	1	181	3	183	2.72e-129	363	181
95	5M32:X	100	181	0	0	1	181	3	183	2.72e-129	363	181
95	6EPD:4	100	181	0	0	1	181	3	183	2.72e-129	363	181
95	6EPC:4	100	181	0	0	1	181	3	183	2.72e-129	363	181
95	6EPF:4	100	181	0	0	1	181	3	183	2.72e-129	363	181
95	6EPE:4	100	181	0	0	1	181	3	183	2.72e-129	363	181
95	3UNF:J	100	181	0	0	1	181	3	183	2.72e-129	363	181
95	3UNF:X	100	181	0	0	1	181	3	183	2.72e-129	363	181
95	3UNH:J	100	181	0	0	1	181	3	183	2.72e-129	363	181
95	3UNH:X	100	181	0	0	1	181	3	183	2.72e-129	363	181
95	3UNB:J	100	181	0	0	1	181	3	183	2.72e-129	363	181
95	3UNB:X	100	181	0	0	1	181	3	183	2.72e-129	363	181
95	3UNB:l	100	181	0	0	1	181	3	183	2.72e-129	363	181
95	3UNB:z	100	181	0	0	1	181	3	183	2.72e-129	363	181
95	3UNE:J	100	181	0	0	1	181	3	183	2.72e-129	363	181
95	3UNE:X	100	181	0	0	1	181	3	183	2.72e-129	363	181
95	3UNE:l	100	181	0	0	1	181	3	183	2.72e-129	363	181
95	3UNE:z	100	181	0	0	1	181	3	183	2.72e-129	363	181
95	6TU3:K	100	181	0	0	1	181	3	183	2.82e-129	363	181
95	6TU3:Y	100	181	0	0	1	181	3	183	2.82e-129	363	181
111	5LN3:7	100	188	0	0	1	188	4	191	4.97e-132	371	188
123	8FZ5:N	100	188	0	0	1	188	5	192	8.70e-132	370	188
123	8FZ5:b	100	188	0	0	1	188	5	192	8.70e-132	370	188
123	8FZ6:N	100	188	0	0	1	188	5	192	8.70e-132	370	188
123	8FZ6:b	100	188	0	0	1	188	5	192	8.70e-132	370	188
123	7DR7:K	100	188	0	0	1	188	5	192	9.34e-132	370	188
123	7DR7:V	100	188	0	0	1	188	4	191	9.34e-132	370	188
