	qseqid	sseqid	pident	length	mismatch	gapopen	qstart	qend	sstart	send	evalue	bitscore	qlen
0	B3KQZ9_HUMAN/157-244	6AC0:A	100	88	0	0	1	88	20	107	1.29e-53	165.0	88
1	TRADD_HUMAN/217-304	6AC0:A	100	88	0	0	1	88	20	107	1.29e-53	165.0	88
2	RIPK1_HUMAN/584-668	6AC5:A	100	85	0	0	1	85	11	95	3.6099999999999996e-60	181.0	85
3	B3KU53_HUMAN/186-270	6AC5:A	100	85	0	0	1	85	11	95	3.6099999999999996e-60	181.0	85
4	A8KA62_HUMAN/612-695	4O6X:B	100	84	0	0	1	84	4	87	9.729999999999999e-54	164.0	84
5	Q5CZH9_HUMAN/1472-1555	4O6X:B	100	84	0	0	1	84	4	87	9.729999999999999e-54	164.0	84
6	B1AQT2_HUMAN/612-695	4O6X:B	100	84	0	0	1	84	4	87	9.729999999999999e-54	164.0	84
7	B4DIL1_HUMAN/1479-1562	4O6X:B	100	84	0	0	1	84	4	87	9.729999999999999e-54	164.0	84
8	Q8CBN3_MOUSE/612-695	4O6X:B	100	84	0	0	1	84	4	87	9.729999999999999e-54	164.0	84
9	Q9QXH1_MOUSE/552-635	4O6X:B	100	84	0	0	1	84	4	87	9.729999999999999e-54	164.0	84
10	O70511_RAT/2337-2420	4O6X:B	100	84	0	0	1	84	4	87	9.729999999999999e-54	164.0	84
11	O70510_RAT/13-96	4O6X:B	100	84	0	0	1	84	4	87	9.729999999999999e-54	164.0	84
12	B1AQT0_HUMAN/11-94	4O6X:B	100	84	0	0	1	84	4	87	9.729999999999999e-54	164.0	84
13	Q574E0_RAT/599-682	4O6X:B	100	84	0	0	1	84	4	87	9.729999999999999e-54	164.0	84
14	Q3TSJ8_MOUSE/612-695	4O6X:B	100	84	0	0	1	84	4	87	9.729999999999999e-54	164.0	84
15	Q7Z3G4_HUMAN/1472-1555	4O6X:B	100	84	0	0	1	84	4	87	9.729999999999999e-54	164.0	84
16	Q574D7_RAT/1427-1510	4O6X:B	100	84	0	0	1	84	4	87	9.729999999999999e-54	164.0	84
