qseqid	sseqid	pident	length	mismatch	gapopen	qstart	qend	sstart	send	evalue	bitscore	qlen
1amk	1AMK:A	100	250	0	0	1	250	1	250	1.32e-178	493	250
5tima	1TPF:A	100	249	0	0	1	249	2	250	6.72e-174	481	249
1htia	1WYI:B	100	248	0	0	1	248	1	248	5.82e-181	499	248
1tima	1TIM:B	100	245	0	0	3	247	4	248	1.08e-178	493	247
1ypia	1YPI:B	100	247	0	0	1	247	1	247	1.42e-176	488	247
1trea	1TRE:A	100	255	0	0	1	255	1	255	7.56e-176	486	255
1trea	1TRE:B	100	253	0	0	1	253	1	253	8.20e-175	484	255
1ydva	1LYX:A	100	246	0	0	1	246	1	246	2.77e-178	492	246
1ydva	1O5X:A	100	246	0	0	1	246	1	246	2.77e-178	492	246
1ydva	1O5X:B	100	246	0	0	1	246	1	246	2.77e-178	492	246
1ydva	2VFI:A	100	246	0	0	1	246	1	246	2.77e-178	492	246
1ydva	2VFI:B	100	246	0	0	1	246	1	246	2.77e-178	492	246
1ydva	1M7P:A	100	246	0	0	1	246	1	246	2.77e-178	492	246
1ydva	1M7P:B	100	246	0	0	1	246	1	246	2.77e-178	492	246
1ydva	1M7O:A	100	246	0	0	1	246	1	246	2.77e-178	492	246
1ydva	1M7O:B	100	246	0	0	1	246	1	246	2.77e-178	492	246
1ydva	1LZO:A	100	246	0	0	1	246	1	246	2.77e-178	492	246
1ydva	1LZO:B	100	246	0	0	1	246	1	246	2.77e-178	492	246
1ydva	1LZO:C	100	246	0	0	1	246	1	246	2.77e-178	492	246
1ydva	1LZO:D	100	246	0	0	1	246	1	246	2.77e-178	492	246
1ydva	1YDV:A	100	246	0	0	1	246	1	246	2.77e-178	492	246
1ydva	1YDV:B	100	246	0	0	1	246	1	246	2.77e-178	492	246
1aw2a	1AW1:J	100	255	0	0	1	255	1	255	5.10e-174	482	255
2btma	2BTM:B	100	250	0	0	1	250	1	250	4.76e-179	494	250
1tcda	1CI1:A	100	248	0	0	1	248	1	248	1.54e-176	488	248
1tcda	1TCD:A	100	248	0	0	1	248	1	248	1.54e-176	488	248
1tcda	1CI1:B	100	248	0	0	1	248	2	249	1.59e-176	488	248
1tcda	1TCD:B	100	248	0	0	1	248	2	249	1.59e-176	488	248
1tcda	1SUX:A	100	248	0	0	1	248	3	250	1.65e-176	488	248
1tcda	1SUX:B	100	248	0	0	1	248	3	250	1.65e-176	488	248
1tcda	2OMA:A	100	248	0	0	1	248	3	250	1.65e-176	488	248
1tcda	2OMA:B	100	248	0	0	1	248	3	250	1.65e-176	488	248
