	qseqid	sseqid	pident	length	mismatch	gapopen	qstart	qend	sstart	send	evalue	bitscore	qlen
0	C7PRN9_CHIPD/25-260	6V4W:A	100	236	0	0	1	236	4	239	5.0500000000000004e-169	469.0	236
1	B5L5W7_9BACT/63-189	8EO5:A	100	127	0	0	1	127	10	136	6.68e-84	249.0	127
2	C0KUK0_KLEPN/14-96	6B1F:A	100	83	0	0	1	83	5	87	6.94e-53	168.0	83
3	D2ARB3_STRRD/63-318	5E43:A	100	256	0	0	1	256	4	259	5.23e-184	508.0	256
4	B1MCI3_MYCA9/35-280	4YFM:B	100	246	0	0	1	246	6	251	1.48e-174	483.0	246
5	Q8EMP8_OCEIH/49-296	3LEZ:A	100	248	0	0	1	248	5	252	6.55e-174	481.0	248
6	BLAC_MYCTA/48-300	7K8F:A	100	253	0	0	1	253	6	258	2.8e-182	503.0	253
7	BLAC_MYCTA/48-300	7K8F:B	100	253	0	0	1	253	6	258	2.8e-182	503.0	253
8	BLAC_MYCTA/48-300	7K8F:C	100	253	0	0	1	253	6	258	2.8e-182	503.0	253
9	BLAC_MYCTA/48-300	7K8F:D	100	253	0	0	1	253	6	258	2.8e-182	503.0	253
10	BLAC_MYCTA/48-300	7K8L:A	100	253	0	0	1	253	6	258	2.8e-182	503.0	253
11	BLAC_MYCTA/48-300	7K8L:B	100	253	0	0	1	253	6	258	2.8e-182	503.0	253
12	BLAC_MYCTA/48-300	7K8L:C	100	253	0	0	1	253	6	258	2.8e-182	503.0	253
13	BLAC_MYCTA/48-300	7K8L:D	100	253	0	0	1	253	6	258	2.8e-182	503.0	253
14	BLAC_MYCTA/48-300	7K8K:A	100	253	0	0	1	253	6	258	2.8e-182	503.0	253
15	BLAC_MYCTA/48-300	7K8K:B	100	253	0	0	1	253	6	258	2.8e-182	503.0	253
16	BLAC_MYCTA/48-300	7K8K:C	100	253	0	0	1	253	6	258	2.8e-182	503.0	253
17	BLAC_MYCTA/48-300	7K8K:D	100	253	0	0	1	253	6	258	2.8e-182	503.0	253
18	BLAC_MYCTA/48-300	7K8E:A	100	253	0	0	1	253	6	258	2.8e-182	503.0	253
19	BLAC_MYCTA/48-300	7K8E:B	100	253	0	0	1	253	6	258	2.8e-182	503.0	253
20	BLAC_MYCTA/48-300	7K8E:C	100	253	0	0	1	253	6	258	2.8e-182	503.0	253
21	BLAC_MYCTA/48-300	7K8E:D	100	253	0	0	1	253	6	258	2.8e-182	503.0	253
22	BLAC_MYCTA/48-300	7K8H:A	100	253	0	0	1	253	6	258	2.8e-182	503.0	253
23	BLAC_MYCTA/48-300	7K8H:B	100	253	0	0	1	253	6	258	2.8e-182	503.0	253
24	BLAC_MYCTA/48-300	7K8H:C	100	253	0	0	1	253	6	258	2.8e-182	503.0	253
25	BLAC_MYCTA/48-300	7K8H:D	100	253	0	0	1	253	6	258	2.8e-182	503.0	253
26	BLAC_MYCTA/48-300	4Q8I:A	100	253	0	0	1	253	6	258	2.8e-182	503.0	253
27	BLAC_MYCTA/48-300	6H2K:B	100	253	0	0	1	253	6	258	2.8e-182	503.0	253
28	BLAC_MYCTA/48-300	3CG5:A	100	253	0	0	1	253	6	258	2.8e-182	503.0	253
29	BLAC_MYCTA/48-300	3M6H:A	100	253	0	0	1	253	6	258	2.8e-182	503.0	253
30	BLAC_MYCTA/48-300	3M6B:A	100	253	0	0	1	253	6	258	2.8e-182	503.0	253
31	1shva	5EE8:A	100	265	0	0	1	265	1	265	1.73e-186	514.0	265
32	Q9JN58_SHIFL/1-62	1XPB:A	100	62	0	0	1	62	133	194	6.72e-37	126.0	62
33	B2JET9_BURP8/18-274	5VPQ:A	100	257	0	0	1	257	14	270	1.99e-179	496.0	257
34	Q8F0P8_LEPIN/86-366	8DC1:A	100	281	0	0	1	281	30	310	4.65e-209	575.0	281
35	B6H6L7_PENCW/1-382	6KJC:B	100	382	0	0	1	382	17	398	1.38e-284	773.0	382
36	C7YS44_NECH7/311-608	7TPU:A	100	298	0	0	1	298	279	576	8.48e-211	590.0	298
37	Q7WSR1_9MICC/20-362	3ZYT:A	100	343	0	0	1	343	20	362	1.8399999999999998e-250	684.0	343
38	Q87Z37_PSESM/28-380	5EVI:D	100	353	0	0	1	353	5	357	2.01e-258	704.0	353
39	Q59401_ENTCL/32-384	1ONH:A	100	353	0	0	1	353	11	363	3.2200000000000003e-265	721.0	353
40	A7TUE6_ECOLX/25-379	7CIN:A	100	355	0	0	1	355	3	357	1.5000000000000001e-269	732.0	355
41	B2BSN6_AERTR/29-381	6FM6:A	100	353	0	0	1	353	3	355	1.08e-259	707.0	353
42	ESTB_BURGA/22-391	1CI8:B	100	370	0	0	1	370	8	377	7.139999999999999e-270	734.0	370
43	Q0P7K6_ECOLX/43-358	3O3V:A	100	316	0	0	1	316	3	318	6.819999999999999e-230	629.0	316
44	Q0P7K6_ECOLX/43-358	3O3V:B	100	316	0	0	1	316	3	318	6.819999999999999e-230	629.0	316
45	Q0P7K6_ECOLX/43-358	3O3V:C	100	316	0	0	1	316	3	318	6.819999999999999e-230	629.0	316
46	Q0P7K6_ECOLX/43-358	7MDC:A	100	316	0	0	1	316	8	323	5.87e-228	629.0	316
47	Q9LCC8_OCHAN/4-343	2EFU:C	100	340	0	0	1	340	2	341	2.54e-239	707.0	340
48	Q9V2D6_PYRAB/6-348	2QMI:H	100	343	0	0	1	343	6	348	7.35e-250	685.0	343
49	A4TNI1_YERPP/41-381	3RJU:A	100	341	0	0	1	341	6	346	1.05e-248	678.0	341
50	B6VP05_KLEPN/32-116	8JB7:B	100	85	0	0	1	85	11	95	9.810000000000001e-56	178.0	85
51	Q06W94_SALNE/1-95	1ZC2:B	100	95	0	0	1	95	262	356	1.86e-61	193.0	95
52	Q06W94_SALNE/1-95	1ZC2:A	100	95	0	0	1	95	264	358	1.9599999999999998e-61	193.0	95
53	Q06W94_SALNE/1-95	7PA5:A	100	95	0	0	1	95	265	359	2.0099999999999997e-61	193.0	95
54	Q06W94_SALNE/1-95	8DI7:A	100	95	0	0	1	95	265	359	2.0099999999999997e-61	193.0	95
55	Q06W94_SALNE/1-95	8DI7:B	100	95	0	0	1	95	265	359	2.0099999999999997e-61	193.0	95
56	Q06W94_SALNE/1-95	8DI7:C	100	95	0	0	1	95	265	359	2.0099999999999997e-61	193.0	95
57	Q06W94_SALNE/1-95	8DI7:D	100	95	0	0	1	95	265	359	2.0099999999999997e-61	193.0	95
58	Q06W94_SALNE/1-95	6G9T:A	100	95	0	0	1	95	265	359	2.0099999999999997e-61	193.0	95
59	Q06W94_SALNE/1-95	6G9T:B	100	95	0	0	1	95	265	359	2.0099999999999997e-61	193.0	95
60	O32352_CITFR/32-381	1RGY:A	100	350	0	0	1	350	11	360	2.4399999999999997e-263	716.0	350
