	qseqid	sseqid	pident	length	mismatch	gapopen	qstart	qend	sstart	send	evalue	bitscore	qlen
0	3app	2WED:A	100	323	0	0	1	323	1	323	4.0699999999999998e-230	629.0	323
1	4ape	4Y3J:A	100	330	0	0	1	330	1	330	4.46e-226	623.0	330
2	2apr	4APR:E	100	325	0	0	1	325	1	325	2.7899999999999998e-238	650.0	325
3	PENP_PENJA/16-322	2WED:A	100	307	0	0	1	307	16	322	4.06e-219	601.0	307
4	PEPA_ASPSA/84-393	1IBQ:B	100	310	0	0	1	310	15	324	2.1e-220	604.0	310
5	CARP_CRYPA/105-419	4Y3J:A	100	315	0	0	1	315	16	330	1.93e-216	598.0	315
6	BACE1_HUMAN/74-418	4GID:C	100	345	0	0	1	345	16	360	6.849999999999999e-258	706.0	345
7	Q56JJ3_CANFA/1-180	4GID:C	100	180	0	0	1	180	181	360	4.2700000000000004e-129	372.0	180
8	B7Z3K2_HUMAN/94-293	4GID:C	100	200	0	0	1	200	161	360	5.3e-143	409.0	200
9	Q5NVA1_PONAB/85-125	4AMT:A	100	41	0	0	1	41	57	97	3.88e-23	91.3	41
10	PEPA_HUMAN/75-387	3UTL:A	100	313	0	0	1	313	13	325	1.4399999999999997e-228	625.0	313
11	PEPA_PIG/72-384	1F34:A	100	313	0	0	1	313	13	325	5.0399999999999996e-229	626.0	313
12	Q9GK11_CAMDR/73-380	4AA9:A	100	308	0	0	1	308	5	312	1.73e-236	644.0	308
13	CHYM_BOVIN/73-380	4AA8:A	100	308	0	0	1	308	15	322	1.3899999999999999e-233	637.0	308
14	PEPC_HUMAN/72-387	1HTR:B	100	316	0	0	1	316	13	328	4.1799999999999997e-234	639.0	316
15	RENI_PANTR/85-405	2G20:A	100	321	0	0	1	321	12	332	5.53e-239	652.0	321
16	RENI_PANTR/85-405	2G20:B	100	321	0	0	1	321	12	332	5.53e-239	652.0	321
17	RENI_PANTR/85-405	2G22:A	100	321	0	0	1	321	12	332	5.53e-239	652.0	321
18	RENI_PANTR/85-405	2G22:B	100	321	0	0	1	321	12	332	5.53e-239	652.0	321
19	RENI_PANTR/85-405	2G1R:A	100	321	0	0	1	321	12	332	5.53e-239	652.0	321
20	RENI_PANTR/85-405	2G1R:B	100	321	0	0	1	321	12	332	5.53e-239	652.0	321
21	RENI_PANTR/85-405	2G1Y:A	100	321	0	0	1	321	12	332	5.53e-239	652.0	321
22	RENI_PANTR/85-405	2G1Y:B	100	321	0	0	1	321	12	332	5.53e-239	652.0	321
23	RENI_PANTR/85-405	2G1S:A	100	321	0	0	1	321	12	332	5.53e-239	652.0	321
24	RENI_PANTR/85-405	2G1S:B	100	321	0	0	1	321	12	332	5.53e-239	652.0	321
25	RENI_PANTR/85-405	2G1N:A	100	321	0	0	1	321	12	332	5.53e-239	652.0	321
26	RENI_PANTR/85-405	2G1N:B	100	321	0	0	1	321	12	332	5.53e-239	652.0	321
27	RENI_PANTR/85-405	2G1O:A	100	321	0	0	1	321	12	332	5.53e-239	652.0	321
28	RENI_PANTR/85-405	2G1O:B	100	321	0	0	1	321	12	332	5.53e-239	652.0	321
