qseqid	sseqid	pident	length	mismatch	gapopen	qstart	qend	sstart	send	evalue	bitscore	qlen
1tpka	1PK2:A	100	88	0	0	1	88	3	90	4.47e-67	198	88
C9JJA1_HUMAN/215-278	1PK2:A	100	54	0	0	1	54	7	60	4.42e-36	119	64
A2VCQ3_HUMAN/316-394	7TNG:A	100	79	0	0	1	79	4	82	4.31e-62	185	79
5hpga	2KNF:A	100	82	0	0	2	83	6	87	6.70e-65	192	84
C9E9X4_RABIT/128-206	4D3C:A	100	79	0	0	1	79	92	170	5.28e-60	182	79
Q866J9_9PRIM/2-39	4A5T:S	100	38	0	0	1	38	166	203	2.34e-22	89.7	38
C9WSJ3_HUMAN/128-169	7MOA:D	100	34	0	0	1	34	95	128	2.37e-18	78.6	42
1pkr	4A5T:S	100	80	0	0	1	80	83	162	6.13e-54	181	80
FA12_HUMAN/217-295	8OS5:A	100	79	0	0	1	79	181	259	1.37e-59	184	79
2pf1	2PF1:A	100	93	0	0	1	93	29	121	1.59e-70	208	93
2pf1	1NL2:A	100	83	0	0	1	83	64	146	5.36e-59	189	93
THRB_BOVIN/109-187	1NL2:A	100	79	0	0	1	79	66	144	7.82e-56	180	79
C9JV37_HUMAN/98-176	4O03:A	100	79	0	0	1	79	65	143	5.75e-55	181	79
B2R7F8_HUMAN/275-352	4A5T:S	100	78	0	0	1	78	256	333	4.23e-55	184	78
A6PVI2_HUMAN/120-166	4A5T:S	100	47	0	0	1	47	84	130	5.73e-26	100	47
PLMN_HUMAN/103-181	4A5T:S	100	79	0	0	1	79	84	162	2.14e-53	179	79
Q5TEH5_HUMAN/103-136	4A5T:S	100	34	0	0	1	34	84	117	2.71e-17	75.1	34
THRB_PONAB/214-292	6C2W:B	100	79	0	0	1	79	170	248	2.20e-55	182	79
Q99JC8_RAT/89-159	2K51:A	100	71	0	0	1	71	6	76	1.23e-57	173	71
B4DV92_HUMAN/152-233	1PK2:A	100	82	0	0	1	82	7	88	3.23e-63	188	82
C1P671_HUMAN/34-116	5FWV:A	100	83	0	0	1	83	4	86	3.35e-66	202	83
B4DNJ4_HUMAN/1-65	1URK:A	100	65	0	0	1	65	62	126	2.06e-49	154	65
UROK_HUMAN/70-151	1URK:A	100	82	0	0	1	82	45	126	1.19e-64	193	82
UROK_MOUSE/71-152	3LAQ:B	100	82	0	0	1	82	44	125	5.03e-65	194	82
ROR2_DROME/219-297	7ME4:A	100	79	0	0	1	79	152	230	4.09e-63	192	79
B1APY4_HUMAN/176-254	6OSN:A	100	79	0	0	1	79	7	85	2.35e-61	183	79
B1APY4_HUMAN/176-254	9FSE:A	100	77	0	0	1	77	147	223	1.21e-57	178	79
APOA_HUMAN/826-903	6RX7:C	100	78	0	0	1	78	15	92	1.95e-59	178	78
Q1HP67_HUMAN/1274-1351	1I71:A	100	78	0	0	1	78	2	79	3.66e-62	185	78
APOA_HUMAN/3676-3753	1JFN:A	100	78	0	0	1	78	25	102	7.94e-62	185	78
Q1HP67_HUMAN/1388-1465	2FEB:A	100	78	0	0	1	78	18	95	2.29e-62	186	78
Q9UKJ7_HUMAN/1-35	1I71:A	100	35	0	0	1	35	45	79	8.12e-25	89.0	35
B2R7F8_HUMAN/377-454	4A5T:S	100	78	0	0	1	78	358	435	2.83e-53	179	78
B4DPH4_HUMAN/1-51	4A5T:S	100	51	0	0	1	51	385	435	3.87e-34	124	51
Q9UMI2_HUMAN/11-53	4A5T:S	100	43	0	0	1	43	358	400	3.32e-23	92.4	43
Q8N696_HUMAN/14-93	4BVV:A	100	80	0	0	1	80	2	81	3.32e-65	192	80
PLMN_HUMAN/481-560	4A5T:S	100	80	0	0	1	80	462	541	3.55e-57	189	80
B2R7F8_HUMAN/185-262	4A5T:S	100	78	0	0	1	78	166	243	3.17e-56	187	78
HGF_HUMAN/305-383	7MOA:D	100	79	0	0	1	79	272	350	8.74e-58	190	79
Q9BGN9_BOVIN/1-32	7MOA:D	100	32	0	0	1	32	142	173	4.86e-20	82.8	32
B5AMJ3_SHEEP/1-35	7MOA:D	100	35	0	0	1	35	132	166	1.61e-20	84.3	35
A8K6K9_HUMAN/128-206	7MOA:D	100	79	0	0	1	79	95	173	2.40e-55	183	79
C9WSJ4_HUMAN/128-161	7MOA:D	100	33	0	0	1	33	95	127	5.72e-18	77.0	34
Q8C9G5_MOUSE/129-207	4IUA:F	100	79	0	0	1	79	93	171	3.27e-59	183	79
Q8C4E2_MOUSE/129-162	2QJ4:A	100	33	0	0	1	33	91	123	3.69e-19	77.0	34
Q8C4E2_MOUSE/129-162	2QJ4:B	100	33	0	0	1	33	91	123	3.69e-19	77.0	34
Q8C4E2_MOUSE/129-162	4IUA:H	100	33	0	0	1	33	91	123	1.52e-18	77.0	34
Q8C4E2_MOUSE/129-162	4IUA:G	100	33	0	0	1	33	92	124	1.55e-18	77.0	34
Q8C4E2_MOUSE/129-162	4IUA:A	100	33	0	0	1	33	93	125	1.57e-18	77.0	34
Q8C4E2_MOUSE/129-162	4IUA:B	100	33	0	0	1	33	93	125	1.57e-18	77.0	34
Q8C4E2_MOUSE/129-162	4IUA:C	100	33	0	0	1	33	93	125	1.57e-18	77.0	34
Q8C4E2_MOUSE/129-162	4IUA:D	100	33	0	0	1	33	93	125	1.57e-18	77.0	34
Q8C4E2_MOUSE/129-162	4IUA:E	100	33	0	0	1	33	93	125	1.57e-18	77.0	34
Q8C4E2_MOUSE/129-162	4IUA:F	100	33	0	0	1	33	93	125	1.57e-18	77.0	34
C9E9X5_MACFA/211-288	7MOA:D	100	78	0	0	1	78	178	255	6.02e-58	190	78
2hppp	2HPP:P	100	79	0	0	1	79	1	79	1.90e-59	178	79
1kdu	1URK:A	100	85	0	0	1	85	44	128	4.92e-67	199	85
THRB_HUMAN/108-186	4O03:A	100	79	0	0	1	79	65	143	5.75e-55	181	79
PLMN_HUMAN/275-352	4A5T:S	100	78	0	0	1	78	256	333	4.23e-55	184	78
B2R7F8_HUMAN/103-181	4A5T:S	100	79	0	0	1	79	84	162	2.14e-53	179	79
B4DDT3_HUMAN/62-140	6C2W:B	100	79	0	0	1	79	170	248	2.20e-55	182	79
THRB_HUMAN/213-291	6C2W:B	100	79	0	0	1	79	170	248	2.20e-55	182	79
C9JV37_HUMAN/203-281	6C2W:B	100	79	0	0	1	79	170	248	2.20e-55	182	79
2hpqp	6C2W:B	100	79	0	0	1	79	170	248	2.20e-55	182	79
B4DRD3_HUMAN/173-254	1PK2:A	100	82	0	0	1	82	7	88	3.23e-63	188	82
B4DN26_HUMAN/126-207	1PK2:A	100	82	0	0	1	82	7	88	3.23e-63	188	82
TPA_HUMAN/215-296	1PK2:A	100	82	0	0	1	82	7	88	3.23e-63	188	82
B8ZX62_HUMAN/215-296	1PK2:A	100	82	0	0	1	82	7	88	3.23e-63	188	82
B4DNJ1_HUMAN/89-170	1PK2:A	100	82	0	0	1	82	7	88	3.23e-63	188	82
C9JN89_HUMAN/168-249	1PK2:A	100	82	0	0	1	82	7	88	3.23e-63	188	82
