	qseqid	sseqid	pident	length	mismatch	gapopen	qstart	qend	sstart	send	evalue	bitscore	qlen
0	3	1HFY:A	100	24	0	0	1	24	80	103	3.17e-10	52.4	24
1	3	1HFY:B	100	24	0	0	1	24	80	103	3.17e-10	52.4	24
2	3	3B0K:A	100	24	0	0	1	24	80	103	3.17e-10	52.4	24
3	3	3B0K:B	100	24	0	0	1	24	80	103	3.17e-10	52.4	24
4	3	1FKV:A	100	24	0	0	1	24	81	104	3.23e-10	52.4	24
5	3	1HMK:A	100	24	0	0	1	24	81	104	3.23e-10	52.4	24
6	3	1FKQ:A	100	24	0	0	1	24	81	104	3.43e-10	52.4	24
7	32	1JUG:A	100	125	0	0	1	125	1	125	5.62e-96	274.0	125
8	41	1BB6:A	100	33	0	0	1	33	8	40	5.24e-19	75.5	33
9	48	2EQL:A	100	127	0	0	1	127	1	127	6.99e-96	274.0	127
10	49	1HHL:A	100	129	0	0	1	129	1	129	1.6500000000000001e-99	283.0	129
11	58	1LHL:A	100	128	0	0	1	128	1	128	3.19e-97	277.0	128
12	60	2Z2F:A	100	127	0	0	1	127	1	127	5.98e-97	276.0	127
13	83	1IVM:A	100	128	0	0	1	128	1	128	1.5800000000000002e-97	278.0	128
14	87	1BB6:A	100	129	0	0	1	129	1	129	3.91e-98	280.0	129
15	90	4YF2:A	100	126	0	0	1	126	2	127	3.05e-99	282.0	126
16	188	1HMK:A	100	103	0	0	1	103	2	104	7.8e-76	222.0	103
17	281	5XUW:B	100	127	0	0	1	127	1	127	1.41e-95	273.0	127
18	286	4ML7:A	100	128	0	0	1	128	1	128	1.26e-96	276.0	128
19	286	7XF7:A	100	128	0	0	1	128	1	128	1.3e-96	276.0	128
20	286	7XF6:A	100	128	0	0	1	128	1	128	1.3e-96	276.0	128
21	286	7XF8:A	100	128	0	0	1	128	1	128	1.3e-96	276.0	128
22	286	6LFH:X	100	128	0	0	1	128	1	128	1.3e-96	276.0	128
23	286	5LSH:A	100	128	0	0	1	128	1	128	1.3e-96	276.0	128
24	286	4ML7:C	100	128	0	0	1	128	1	128	1.3e-96	276.0	128
25	286	1IWT:A	100	128	0	0	1	128	1	128	1.3e-96	276.0	128
26	286	1IWW:A	100	128	0	0	1	128	1	128	1.3e-96	276.0	128
27	286	1IWU:A	100	128	0	0	1	128	1	128	1.3e-96	276.0	128
28	286	1IWV:A	100	128	0	0	1	128	1	128	1.3e-96	276.0	128
29	286	1IWY:A	100	128	0	0	1	128	1	128	1.3e-96	276.0	128
30	286	1IWX:A	100	128	0	0	1	128	1	128	1.3e-96	276.0	128
31	286	1IWZ:A	100	128	0	0	1	128	1	128	1.3e-96	276.0	128
32	286	1JWR:A	100	128	0	0	1	128	1	128	1.3e-96	276.0	128
33	286	1OUF:A	100	128	0	0	1	128	1	128	1.3e-96	276.0	128
34	286	1IY4:A	100	128	0	0	1	128	1	128	1.3e-96	276.0	128
35	286	1IY3:A	100	128	0	0	1	128	1	128	1.3e-96	276.0	128
36	286	4I0C:A	100	128	0	0	1	128	1	128	1.3e-96	276.0	128
37	286	4I0C:B	100	128	0	0	1	128	1	128	1.3e-96	276.0	128
38	286	1JSF:A	100	128	0	0	1	128	1	128	1.3e-96	276.0	128
39	286	1REM:A	100	128	0	0	1	128	1	128	1.3e-96	276.0	128
40	286	1RE2:A	100	128	0	0	1	128	1	128	1.3e-96	276.0	128
41	286	1REY:A	100	128	0	0	1	128	1	128	1.3e-96	276.0	128
42	286	1REZ:A	100	128	0	0	1	128	1	128	1.3e-96	276.0	128
43	293	4EOF:A	100	129	0	0	1	129	1	129	2.32e-97	281.0	129
44	295	3CB7:B	100	121	0	0	1	121	5	125	1.12e-92	265.0	121
45	296	4EOF:A	100	27	0	0	1	27	1	27	4.46e-13	61.6	27
46	302	135L:A	100	127	0	0	1	127	1	127	5.98e-97	276.0	127
47	334	1HMK:A	100	120	0	0	1	120	2	121	4.34e-91	261.0	120
48	364	1FBI:X	100	127	0	0	1	127	1	127	7.26e-98	279.0	127
49	364	1FBI:Y	100	127	0	0	1	127	1	127	7.26e-98	279.0	127
50	392	2GV0:A	100	128	0	0	1	128	2	129	1.4500000000000001e-100	286.0	128
51	430	1NKH:C	100	120	0	0	1	120	1	120	1.5599999999999998e-89	257.0	120
52	464	4L41:A	100	120	0	0	1	120	2	121	1.82e-88	254.0	120
53	479	1QQY:A	100	127	0	0	1	127	3	129	1.24e-94	271.0	127
54	494	1HFX:A	100	120	0	0	1	120	1	120	1.5599999999999998e-89	257.0	120
55	505	2FBD:B	100	121	0	0	1	121	1	121	9.8e-93	265.0	121
56	510	1GHL:B	100	127	0	0	1	127	2	128	3.06e-97	277.0	127
57	512	2EQL:A	100	129	0	0	1	129	1	129	2.2600000000000002e-97	278.0	129
58	526	6T5S:A	100	126	0	0	1	126	1	126	1.88e-99	283.0	126
59	528	1ALC:A	100	122	0	0	1	122	1	122	5.7e-90	258.0	122
60	537	7XF7:A	100	130	0	0	1	130	1	130	1.47e-98	281.0	130
61	537	7XF6:A	100	130	0	0	1	130	1	130	1.47e-98	281.0	130
62	537	7XF8:A	100	130	0	0	1	130	1	130	1.47e-98	281.0	130
63	537	6LFH:X	100	130	0	0	1	130	1	130	1.47e-98	281.0	130
64	537	5LSH:A	100	130	0	0	1	130	1	130	1.47e-98	281.0	130
65	537	4ML7:C	100	130	0	0	1	130	1	130	1.47e-98	281.0	130
66	537	1IWT:A	100	130	0	0	1	130	1	130	1.47e-98	281.0	130
67	537	1IWW:A	100	130	0	0	1	130	1	130	1.47e-98	281.0	130
68	537	1IWU:A	100	130	0	0	1	130	1	130	1.47e-98	281.0	130
69	537	1IWV:A	100	130	0	0	1	130	1	130	1.47e-98	281.0	130
70	537	1IWY:A	100	130	0	0	1	130	1	130	1.47e-98	281.0	130
71	537	1IWX:A	100	130	0	0	1	130	1	130	1.47e-98	281.0	130
72	537	1IWZ:A	100	130	0	0	1	130	1	130	1.47e-98	281.0	130
73	537	1JWR:A	100	130	0	0	1	130	1	130	1.47e-98	281.0	130
74	537	1IY4:A	100	130	0	0	1	130	1	130	1.47e-98	281.0	130
75	537	1IY3:A	100	130	0	0	1	130	1	130	1.47e-98	281.0	130
76	537	4I0C:A	100	130	0	0	1	130	1	130	1.47e-98	281.0	130
77	537	4I0C:B	100	130	0	0	1	130	1	130	1.47e-98	281.0	130
78	537	1JSF:A	100	130	0	0	1	130	1	130	1.47e-98	281.0	130
79	537	1REM:A	100	130	0	0	1	130	1	130	1.47e-98	281.0	130
80	537	1RE2:A	100	130	0	0	1	130	1	130	1.47e-98	281.0	130
81	537	1REY:A	100	130	0	0	1	130	1	130	1.47e-98	281.0	130
82	537	1REZ:A	100	130	0	0	1	130	1	130	1.47e-98	281.0	130
83	537	1REX:A	100	130	0	0	1	130	1	130	1.47e-98	281.0	130
84	537	3FE0:A	100	130	0	0	1	130	1	130	1.47e-98	281.0	130
85	541	1IIZ:A	100	120	0	0	1	120	1	120	1.1999999999999999e-90	260.0	120
86	544	1GHL:B	100	130	0	0	1	130	1	130	1.78e-99	283.0	130
87	547	1HFX:A	100	123	0	0	1	123	1	123	2.6e-91	262.0	123
88	557	2RSC:A	100	119	0	0	1	119	2	120	5.9299999999999996e-93	266.0	119
89	558	1JHL:A	100	127	0	0	1	127	1	127	2.96e-97	277.0	127
90	563	1F6R:D	100	120	0	0	1	120	1	120	5.96e-91	261.0	120
91	563	1F6R:F	100	120	0	0	1	120	1	120	5.96e-91	261.0	120
92	563	6IP9:A	100	120	0	0	1	120	1	120	5.96e-91	261.0	120
93	563	7WQG:B	100	120	0	0	1	120	1	120	5.96e-91	261.0	120
94	563	1F6R:C	100	120	0	0	1	120	1	120	6.16e-91	261.0	120
95	563	1F6R:E	100	120	0	0	1	120	1	120	6.16e-91	261.0	120
96	563	1F6S:B	100	120	0	0	1	120	1	120	6.16e-91	261.0	120
97	563	1F6S:E	100	120	0	0	1	120	1	120	6.16e-91	261.0	120
98	563	7EKA:A	100	120	0	0	1	120	1	120	6.16e-91	261.0	120
99	563	7WQG:A	100	120	0	0	1	120	1	120	6.16e-91	261.0	120
100	563	7WQG:C	100	120	0	0	1	120	1	120	6.16e-91	261.0	120
101	563	7WQG:D	100	120	0	0	1	120	1	120	6.16e-91	261.0	120
102	563	7WQG:E	100	120	0	0	1	120	1	120	6.16e-91	261.0	120
103	563	7WQG:F	100	120	0	0	1	120	1	120	6.16e-91	261.0	120
104	563	1F6R:B	100	120	0	0	1	120	1	120	6.37e-91	261.0	120
105	563	1F6S:A	100	120	0	0	1	120	1	120	6.37e-91	261.0	120
106	563	1F6S:C	100	120	0	0	1	120	1	120	6.37e-91	261.0	120
107	563	1F6S:D	100	120	0	0	1	120	1	120	6.37e-91	261.0	120
108	563	1F6S:F	100	120	0	0	1	120	1	120	6.37e-91	261.0	120
109	563	2G4N:A	100	120	0	0	1	120	1	120	6.37e-91	261.0	120
110	563	2G4N:B	100	120	0	0	1	120	1	120	6.37e-91	261.0	120
111	563	2G4N:C	100	120	0	0	1	120	1	120	6.37e-91	261.0	120
112	563	2G4N:D	100	120	0	0	1	120	1	120	6.37e-91	261.0	120
113	563	2G4N:E	100	120	0	0	1	120	1	120	6.37e-91	261.0	120
114	563	2G4N:F	100	120	0	0	1	120	1	120	6.37e-91	261.0	120
115	585	2IHL:A	100	127	0	0	1	127	1	127	2.96e-97	277.0	127
116	596	1DKJ:A	100	127	0	0	1	127	1	127	5.98e-97	276.0	127
117	596	1DKK:A	100	127	0	0	1	127	1	127	5.98e-97	276.0	127
118	596	1DKK:B	100	127	0	0	1	127	1	127	5.98e-97	276.0	127
119	596	1BQL:Y	100	127	0	0	1	127	1	127	5.98e-97	276.0	127
120	611	6UL3:B	100	129	0	0	1	129	4	132	1.61e-98	281.0	129
121	612	4EOF:A	100	127	0	0	1	127	1	127	1.01e-95	276.0	127
