	qseqid	sseqid	pident	length	mismatch	gapopen	qstart	qend	sstart	send	evalue	bitscore	qlen
0	CRGB_HUMAN/90-171	2JDF:A	100	82	0	0	1	82	89	170	7.78e-57	175.0	82
1	A7KK40_PANTR/90-171	2JDF:A	100	82	0	0	1	82	89	170	7.78e-57	175.0	82
2	CRGB_BOVIN/90-171	1GCS:A	100	82	0	0	1	82	89	170	1.43e-56	174.0	82
3	4gcr	1GCS:A	100	174	0	0	1	174	1	174	3.2699999999999998e-139	387.0	174
4	CRGD_BOVIN/89-170	1ELP:B	100	82	0	0	1	82	89	170	1.43e-56	174.0	82
5	Q62535_MUSSP/1-30	1A5D:B	100	30	0	0	1	30	141	170	1.74e-15	67.4	30
6	Q62534_MUSSP/1-30	1ELP:A	100	30	0	0	1	30	141	170	8.79e-16	68.2	30
7	Q62534_MUSSP/1-30	1ELP:B	100	30	0	0	1	30	141	170	8.79e-16	68.2	30
8	CRGE_RAT/89-170	1A5D:B	100	82	0	0	1	82	89	170	9.079999999999999e-60	182.0	82
9	1a5da	1ZIQ:A	100	173	0	0	1	173	1	173	7.419999999999999e-140	389.0	173
10	CRGF_BOVIN/89-170	1A45:A	100	82	0	0	1	82	89	170	3.0200000000000003e-58	178.0	82
11	A3RLD4_MOUSE/89-170	2V2U:B	100	82	0	0	1	82	88	169	3.9600000000000003e-56	173.0	82
12	CRGC_MOUSE/89-170	2V2U:B	100	82	0	0	1	82	88	169	3.9600000000000003e-56	173.0	82
13	A3RLD5_MOUSE/90-171	2V2U:B	100	82	0	0	1	82	88	169	3.9600000000000003e-56	173.0	82
14	CRGC_MACMU/89-170	2NBR:A	100	82	0	0	1	82	88	169	6.86e-57	175.0	82
15	CRGC_HUMAN/89-170	2NBR:A	100	82	0	0	1	82	88	169	6.86e-57	175.0	82
16	Q5XTN3_DANRE/90-171	2M3C:A	100	82	0	0	1	82	90	171	5.4899999999999994e-61	185.0	82
17	CRBS_HUMAN/95-176	6IF9:A	100	82	0	0	1	82	95	176	4.8600000000000005e-58	178.0	82
18	Q9UFA7_HUMAN/37-118	6IF9:A	100	82	0	0	1	82	95	176	4.8600000000000005e-58	178.0	82
19	Q3UPY3_MOUSE/95-176	1ZWO:A	100	82	0	0	1	82	94	175	2.34e-58	179.0	82
20	CRBS_MOUSE/95-176	1ZWO:A	100	82	0	0	1	82	94	175	2.34e-58	179.0	82
21	D0UYB8_CHICK/95-176	5VH1:A	100	82	0	0	1	82	94	175	2.01e-59	181.0	82
22	A4L9L6_CAVPO/108-190	7K7U:J	100	83	0	0	1	83	97	179	3.34e-58	179.0	83
23	CRBB2_RABIT/108-190	7K7U:J	100	83	0	0	1	83	97	179	3.34e-58	179.0	83
