qseqid	sseqid	pident	length	mismatch	gapopen	qstart	qend	sstart	send	evalue	bitscore	qlen
SODF_AQUPY/6-90	1COJ:A	100	85	0	0	1	85	4	88	2.92e-55	172	85
D0VWV6_PLAKN/3-82	2AWP:A	100	80	0	0	1	80	3	82	5.11e-54	168	80
Q2GKX4_ANAPZ/1-88	3JS4:B	100	88	0	0	1	88	2	89	1.15e-59	183	88
3sdpa	3SDP:B	100	186	0	0	1	186	1	186	7.30e-142	395	186
SODF_METTH/8-89	1MA1:F	100	82	0	0	1	82	4	85	5.42e-55	171	82
Q5TCM0_HUMAN/46-108	5T30:B	100	52	0	0	1	52	2	53	3.99e-31	109	63
1idsa	1IDS:D	100	198	0	0	1	198	1	198	1.77e-148	412	198
Q6QHT3_BACCE/21-106	1XUQ:B	100	82	0	0	5	86	8	89	1.53e-55	172	86
Q6PXZ9_STAXY/1-54	7W6W:C	100	54	0	0	1	54	35	88	1.43e-30	107	54
Q6PXZ9_STAXY/1-54	7W6W:A	100	54	0	0	1	54	35	88	1.47e-30	107	54
Q6PXZ9_STAXY/1-54	7W6W:D	100	54	0	0	1	54	35	88	1.47e-30	107	54
Q6PXZ9_STAXY/1-54	7DDW:B	100	54	0	0	1	54	35	88	1.47e-30	107	54
Q6PXZ9_STAXY/1-54	7W6W:B	100	54	0	0	1	54	35	88	1.51e-30	107	54
Q6PXZ9_STAXY/1-54	7DDW:A	100	54	0	0	1	54	35	88	1.51e-30	107	54
Q6PXZ9_STAXY/1-54	7DDW:C	100	54	0	0	1	54	35	88	1.51e-30	107	54
Q6PXZ9_STAXY/1-54	7DDW:D	100	54	0	0	1	54	35	88	1.51e-30	107	54
Q6PXZ9_STAXY/1-54	7DDW:E	100	54	0	0	1	54	35	88	1.51e-30	107	54
Q6PXZ9_STAXY/1-54	7DDW:F	100	54	0	0	1	54	35	88	1.51e-30	107	54
Q6PXZ9_STAXY/1-54	5X2J:A	100	54	0	0	1	54	36	89	1.54e-30	107	54
1sssa	1WB8:B	100	205	0	0	1	205	1	205	2.06e-155	431	205
3mdsa	1MNG:B	100	203	0	0	1	203	1	203	3.57e-155	430	203
1isaa	1ISA:A	100	192	0	0	1	192	1	192	1.41e-142	397	192
1isaa	1ISA:B	100	192	0	0	1	192	1	192	1.41e-142	397	192
