	qseqid	sseqid	pident	length	mismatch	gapopen	qstart	qend	sstart	send	evalue	bitscore	qlen
0	TYSY_ECO7I/1-264	2A9W:D	100	264	0	0	1	264	1	264	3.67e-192	563.0	264
1	B3HHV2_ECOLX/1-264	2A9W:D	100	264	0	0	1	264	1	264	3.67e-192	563.0	264
2	TYSY_ECOUT/1-264	2A9W:D	100	264	0	0	1	264	1	264	3.67e-192	563.0	264
3	B3C249_ECO57/1-264	2A9W:D	100	264	0	0	1	264	1	264	3.67e-192	563.0	264
4	TYSY_ECOLI/1-264	2A9W:D	100	264	0	0	1	264	1	264	3.67e-192	563.0	264
5	C8UF35_ECO1A/1-264	2A9W:D	100	264	0	0	1	264	1	264	3.67e-192	563.0	264
6	C1HIS9_9ESCH/1-264	2A9W:D	100	264	0	0	1	264	1	264	3.67e-192	563.0	264
7	B3HPD2_ECOLX/1-264	2A9W:D	100	264	0	0	1	264	1	264	3.67e-192	563.0	264
8	TYSY_ECOL6/1-264	2A9W:D	100	264	0	0	1	264	1	264	3.67e-192	563.0	264
9	D2NM08_ECOS5/1-264	2A9W:D	100	264	0	0	1	264	1	264	3.67e-192	563.0	264
10	B3BJL1_ECO57/1-264	2A9W:D	100	264	0	0	1	264	1	264	3.67e-192	563.0	264
11	TYSY_ECOK1/1-264	2A9W:D	100	264	0	0	1	264	1	264	3.67e-192	563.0	264
12	C8TG76_ECO26/1-264	2A9W:D	100	264	0	0	1	264	1	264	3.67e-192	563.0	264
13	B6ZVY0_ECO57/1-264	2A9W:D	100	264	0	0	1	264	1	264	3.67e-192	563.0	264
14	TYSY_ECO24/1-264	2A9W:D	100	264	0	0	1	264	1	264	3.67e-192	563.0	264
15	B3IRR6_ECOLX/1-264	2A9W:D	100	264	0	0	1	264	1	264	3.67e-192	563.0	264
16	C1ND38_9ESCH/1-264	2A9W:D	100	264	0	0	1	264	1	264	3.67e-192	563.0	264
17	D3GSS3_ECO44/1-264	2A9W:D	100	264	0	0	1	264	1	264	3.67e-192	563.0	264
18	B3ADK5_ECO57/1-264	2A9W:D	100	264	0	0	1	264	1	264	3.67e-192	563.0	264
19	B2N0J1_ECOLX/1-264	2A9W:D	100	264	0	0	1	264	1	264	3.67e-192	563.0	264
20	B3WHX6_ECOLX/1-264	2A9W:D	100	264	0	0	1	264	1	264	3.67e-192	563.0	264
21	B2PA29_ECO57/1-264	2A9W:D	100	264	0	0	1	264	1	264	3.67e-192	563.0	264
22	TYSY_ECO57/1-264	2A9W:D	100	264	0	0	1	264	1	264	3.67e-192	563.0	264
23	B5Z4E4_ECO5E/1-264	2A9W:D	100	264	0	0	1	264	1	264	3.67e-192	563.0	264
24	B3AJ31_ECO57/1-264	2A9W:D	100	264	0	0	1	264	1	264	3.67e-192	563.0	264
25	TYSY_ECO55/1-264	2A9W:D	100	264	0	0	1	264	1	264	3.67e-192	563.0	264
26	TYSY_ECOL5/1-264	2A9W:D	100	264	0	0	1	264	1	264	3.67e-192	563.0	264
27	B2NYJ6_ECO57/1-264	2A9W:D	100	264	0	0	1	264	1	264	3.67e-192	563.0	264
28	B1EGH3_9ESCH/1-264	2A9W:D	100	264	0	0	1	264	1	264	3.67e-192	563.0	264
29	TYSY_ECO8A/1-264	2A9W:D	100	264	0	0	1	264	1	264	3.67e-192	563.0	264
30	D3QQF7_ECOLX/1-264	2A9W:D	100	264	0	0	1	264	1	264	3.67e-192	563.0	264
