qseqid	sseqid	pident	length	mismatch	gapopen	qstart	qend	sstart	send	evalue	bitscore	qlen
122	5T30:B	100	60	0	0	1	60	24	83	1.12e-37	126	60
127	4F6E:B	100	89	0	0	1	89	1	89	3.59e-63	192	89
127	3BFR:A	100	89	0	0	1	89	1	89	3.59e-63	192	89
127	3RN4:A	100	89	0	0	1	89	1	89	3.59e-63	192	89
127	4F6E:D	100	89	0	0	1	89	1	89	3.71e-63	192	89
127	3LSU:A	100	89	0	0	1	89	1	89	3.71e-63	192	89
127	3LSU:C	100	89	0	0	1	89	1	89	3.71e-63	192	89
127	4F6E:A	100	89	0	0	1	89	1	89	3.83e-63	192	89
127	4F6E:C	100	89	0	0	1	89	1	89	3.83e-63	192	89
127	3LSU:B	100	89	0	0	1	89	1	89	3.83e-63	192	89
127	3LSU:D	100	89	0	0	1	89	1	89	3.83e-63	192	89
144	6PRO:B	100	89	0	0	1	89	1	89	8.86e-61	186	89
159	5T30:B	100	198	0	0	1	198	2	199	5.70e-152	421	198
197	4YIP:D	100	72	0	0	1	72	17	88	2.41e-46	149	72
212	1ISA:A	100	56	0	0	1	56	26	81	4.45e-37	124	56
212	1ISA:B	100	56	0	0	1	56	26	81	4.45e-37	124	56
212	1ISB:A	100	56	0	0	1	56	26	81	4.45e-37	124	56
212	1ISB:B	100	56	0	0	1	56	26	81	4.45e-37	124	56
212	1ISC:A	100	56	0	0	1	56	26	81	4.45e-37	124	56
212	1ISC:B	100	56	0	0	1	56	26	81	4.45e-37	124	56
337	3JS4:B	100	88	0	0	1	88	2	89	1.15e-59	183	88
341	5T30:B	100	52	0	0	1	52	2	53	2.50e-31	109	52
382	1IDS:D	100	47	0	0	1	47	37	83	9.15e-27	97.8	47
388	3H1S:B	100	81	0	0	1	81	2	82	1.96e-55	172	81
416	1XUQ:B	100	89	0	0	1	89	1	89	7.18e-62	189	89
477	3CEI:A	100	81	0	0	1	81	1	81	4.56e-56	174	81
500	1XUQ:B	100	82	0	0	5	86	8	89	1.53e-55	172	86
522	3LIO:B	100	81	0	0	1	81	1	81	4.83e-56	173	81
595	3TQJ:B	100	71	0	0	1	71	11	81	6.60e-51	160	71
614	2BPI:B	100	51	0	0	1	51	31	81	8.01e-32	110	51
620	6QV8:A	100	73	0	0	1	73	16	88	2.84e-49	156	73
620	6QV8:B	100	73	0	0	1	73	16	88	2.84e-49	156	73
620	5N57:A	100	73	0	0	1	73	16	88	2.84e-49	156	73
620	5N57:B	100	73	0	0	1	73	16	88	2.84e-49	156	73
620	6EX4:A	100	73	0	0	1	73	16	88	2.84e-49	156	73
620	6EX4:B	100	73	0	0	1	73	16	88	2.84e-49	156	73
631	3SDP:B	100	186	0	0	1	186	1	186	7.30e-142	395	186
654	7WNL:D	100	47	0	0	1	47	42	88	2.26e-25	94.4	47
724	1MA1:F	100	82	0	0	1	82	4	85	5.42e-55	171	82
881	6QV8:A	100	79	0	0	1	79	10	88	7.16e-54	168	79
881	6QV8:B	100	79	0	0	1	79	10	88	7.16e-54	168	79
881	5N57:A	100	79	0	0	1	79	10	88	7.16e-54	168	79
881	5N57:B	100	79	0	0	1	79	10	88	7.16e-54	168	79
881	6EX4:A	100	79	0	0	1	79	10	88	7.16e-54	168	79
881	6EX4:B	100	79	0	0	1	79	10	88	7.16e-54	168	79
882	8BHX:B	100	82	0	0	1	82	3	84	1.42e-55	172	82
885	1AR5:B	100	82	0	0	1	82	2	83	1.09e-54	170	82
896	1QNN:C	100	81	0	0	1	81	2	82	1.03e-52	165	81
899	1VAR:B	100	82	0	0	1	82	1	82	1.49e-56	175	82
903	1IDS:D	100	82	0	0	1	82	2	83	3.69e-57	176	82
908	1XUQ:B	100	69	0	0	1	69	21	89	5.19e-44	142	69
944	7BJK:E	100	86	0	0	1	86	6	91	8.94e-61	187	86
962	3AK3:B	100	82	0	0	1	82	6	87	6.75e-56	174	82
975	5T30:B	100	51	0	0	1	51	2	52	3.84e-30	106	51
1027	1COJ:A	100	82	0	0	1	82	6	87	5.08e-53	166	83
1066	4YIO:A	100	87	0	0	1	87	2	88	3.13e-58	179	87
1073	2RCV:G	100	89	0	0	1	89	1	89	9.66e-60	183	89
1115	1IDS:D	100	58	0	0	1	58	26	83	4.62e-36	122	58
1163	6ELK:A	100	82	0	0	1	82	1	82	8.81e-55	170	82
1163	6ELK:C	100	82	0	0	1	82	1	82	8.81e-55	170	82
1163	4X9Q:A	100	82	0	0	1	82	1	82	8.81e-55	170	82
1163	4X9Q:C	100	82	0	0	1	82	1	82	8.81e-55	170	82
1163	3DC5:A	100	82	0	0	1	82	1	82	8.81e-55	170	82
1163	5AG2:A	100	82	0	0	1	82	1	82	8.81e-55	170	82
1163	3DC5:C	100	82	0	0	1	82	2	83	9.08e-55	170	82
1163	5AG2:C	100	82	0	0	1	82	2	83	9.08e-55	170	82
1180	1XRE:B	100	89	0	0	1	89	1	89	1.22e-60	186	89
1198	4F2N:J	100	93	0	0	1	93	4	96	2.61e-65	198	93
1234	3K9S:D	100	89	0	0	1	89	1	89	1.19e-61	188	89
1235	4YIO:A	100	72	0	0	1	72	17	88	2.34e-46	149	72
1248	2CW3:A	100	81	0	0	1	81	6	86	1.44e-54	170	81
1251	2W7W:B	100	75	0	0	1	75	7	81	4.91e-52	163	75
1303	7AZR:E	100	89	0	0	1	89	1	89	1.71e-62	190	89
1331	1XUQ:B	100	72	0	0	1	72	18	89	7.74e-47	150	72
1337	1JR9:A	100	89	0	0	1	89	1	89	2.12e-61	187	89
1392	4YIP:D	100	87	0	0	1	87	2	88	3.23e-58	179	87
1419	2A03:B	100	81	0	0	1	81	2	82	3.75e-54	169	81
1441	1WB8:B	100	205	0	0	1	205	1	205	2.06e-155	431	205
1442	4BR6:D	100	82	0	0	1	82	1	82	2.38e-55	172	82
1482	2AWP:A	100	80	0	0	1	80	3	82	5.11e-54	168	80
1503	1IDS:D	100	28	0	0	1	28	54	81	2.60e-14	64.7	28
1513	1Y67:D	100	88	0	0	1	88	1	88	4.32e-61	187	88
1521	6BEJ:E	100	88	0	0	1	88	1	88	8.24e-61	186	88
1550	4YIP:D	100	56	0	0	2	57	33	88	3.75e-33	114	57
1554	2BPI:B	100	80	0	0	1	80	2	81	5.11e-54	168	80
1557	5N56:B	100	88	0	0	1	88	1	88	2.49e-59	182	88
1581	7W6W:C	100	77	0	0	1	77	12	88	2.23e-49	156	77
1581	7W6W:A	100	77	0	0	1	77	12	88	2.30e-49	156	77
1581	7W6W:D	100	77	0	0	1	77	12	88	2.30e-49	156	77
1581	7DDW:B	100	77	0	0	1	77	12	88	2.30e-49	156	77
1581	7W6W:B	100	77	0	0	1	77	12	88	2.37e-49	156	77
1581	7DDW:A	100	77	0	0	1	77	12	88	2.37e-49	156	77
1581	7DDW:C	100	77	0	0	1	77	12	88	2.37e-49	156	77
1581	7DDW:D	100	77	0	0	1	77	12	88	2.37e-49	156	77
1581	7DDW:E	100	77	0	0	1	77	12	88	2.37e-49	156	77
1581	7DDW:F	100	77	0	0	1	77	12	88	2.37e-49	156	77
1581	5X2J:A	100	77	0	0	1	77	13	89	2.44e-49	156	77
