qseqid	sseqid	pident	length	mismatch	gapopen	qstart	qend	sstart	send	evalue	bitscore	qlen
163	2G3A:A	100	96	0	0	1	96	21	116	2.81e-66	198	96
447	7K0A:B	100	101	0	0	1	101	73	173	1.16e-65	199	101
745	6YUG:B	100	81	0	0	1	81	52	132	4.03e-54	167	81
958	6SLL:B	100	77	0	0	1	77	49	125	8.06e-50	157	77
1072	6C30:B	100	81	0	0	1	81	86	166	4.16e-52	164	81
1091	2I00:F	100	80	0	0	1	80	57	136	1.56e-54	176	80
1098	3PP9:B	100	78	0	0	1	78	80	157	3.77e-53	166	78
1129	3D8P:B	100	54	0	0	1	54	81	134	4.19e-33	113	54
1166	7MX2:A	100	76	0	0	7	82	54	129	1.45e-49	155	82
1216	4OLL:A	100	88	0	0	1	88	202	289	3.16e-55	176	88
1516	3BJ8:D	100	71	0	0	1	71	74	144	3.19e-48	152	71
1516	3BJ7:B	100	71	0	0	1	71	74	144	3.19e-48	152	71
1516	3BJ7:D	100	71	0	0	1	71	74	144	3.19e-48	152	71
1516	3BJ8:B	100	71	0	0	1	71	74	144	3.29e-48	152	71
1516	3BJ8:A	100	71	0	0	1	71	74	144	3.39e-48	152	71
1516	3BJ8:C	100	71	0	0	1	71	74	144	3.39e-48	152	71
1516	3BJ7:A	100	71	0	0	1	71	74	144	3.39e-48	152	71
1516	3BJ7:C	100	71	0	0	1	71	74	144	3.39e-48	152	71
1559	1YR0:D	100	82	0	0	1	82	57	138	4.77e-55	170	82
1578	2VQY:A	100	88	0	0	1	88	60	147	9.64e-60	182	88
1667	6C9M:D	100	81	0	0	1	81	49	129	1.61e-52	163	81
1744	3I9S:B	100	56	0	0	1	56	86	141	2.08e-34	116	56
1942	4R9M:A	100	80	0	0	1	80	62	141	4.52e-52	162	80
2233	3EO4:D	100	74	0	0	1	74	73	146	4.69e-48	152	74
2255	7L1K:A	100	82	0	0	1	82	46	127	2.93e-53	165	82
2337	7OVU:A	100	97	0	0	1	97	63	159	1.32e-63	193	97
2924	1TIQ:B	100	85	0	0	1	85	63	147	9.93e-56	172	85
3002	6VFN:L	100	80	0	0	1	80	57	136	2.73e-52	163	80
3166	4M85:A	100	106	0	0	1	106	63	168	4.93e-73	217	106
3179	5WIF:B	100	80	0	0	1	80	64	143	7.48e-52	162	80
3221	3LOD:A	100	77	0	0	1	77	56	132	1.25e-49	155	77
3680	2Q0Y:A	100	85	0	0	1	85	58	142	3.05e-59	180	85
3837	2PR8:B	100	91	0	0	1	91	60	150	2.33e-62	189	91
3931	5K9N:B	100	117	0	0	1	117	58	174	3.59e-81	239	117
3931	5K9N:A	100	117	0	0	1	117	59	175	3.71e-81	239	117
4002	6K5M:A	100	72	0	0	4	75	77	148	6.09e-46	147	75
4058	2VQY:A	100	90	0	0	1	90	61	150	5.46e-62	188	90
4123	7OVU:A	100	95	0	0	1	95	62	156	8.48e-62	189	96
4150	5JQ4:B	100	75	0	0	1	75	49	123	5.19e-49	154	75
4184	2CNM:C	100	82	0	0	1	82	40	121	1.48e-51	160	82
4270	6BVC:A	100	83	0	0	1	83	58	140	8.80e-54	166	83
