qseqid	sseqid	pident	length	mismatch	gapopen	qstart	qend	sstart	send	evalue	bitscore	qlen
2ltn	1HKD:A	100	181	0	0	1	181	1	181	4.52e-130	367	228
2ltn	1HKD:C	100	181	0	0	1	181	1	181	4.52e-130	367	228
2ltn	1BQP:A	100	181	0	0	1	181	1	181	4.52e-130	367	228
2ltn	1BQP:C	100	181	0	0	1	181	1	181	4.52e-130	367	228
2ltn	2LTN:A	100	181	0	0	1	181	1	181	4.52e-130	367	228
2ltn	2LTN:C	100	181	0	0	1	181	1	181	4.52e-130	367	228
2ltn	1OFS:A	100	181	0	0	1	181	1	181	4.68e-130	367	228
2ltn	1OFS:C	100	181	0	0	1	181	1	181	4.68e-130	367	228
2ltn	1BQP:B	100	47	0	0	182	228	1	47	9.67e-25	95.1	228
2ltn	1BQP:D	100	47	0	0	182	228	1	47	9.67e-25	95.1	228
2ltn	1RIN:B	100	47	0	0	182	228	1	47	9.67e-25	95.1	228
2ltn	1OFS:B	100	47	0	0	182	228	1	47	9.89e-25	95.1	228
2ltn	1OFS:D	100	47	0	0	182	228	1	47	9.89e-25	95.1	228
2ltn	2LTN:B	100	47	0	0	182	228	1	47	9.89e-25	95.1	228
2ltn	2LTN:D	100	47	0	0	182	228	1	47	9.89e-25	95.1	228
2ltn	1HKD:B	100	47	0	0	182	228	1	47	1.01e-24	95.1	228
2ltn	1HKD:D	100	47	0	0	182	228	1	47	1.01e-24	95.1	228
2ltn	1RIN:D	100	47	0	0	182	228	1	47	1.01e-24	95.1	228
1len	2LAL:C	100	181	0	0	1	181	1	181	1.84e-129	365	228
1len	2LAL:D	100	47	0	0	182	228	1	47	1.73e-25	97.1	228
1lgc	1LGC:E	100	181	0	0	1	181	1	181	8.81e-131	369	231
1lgc	1LGC:B	100	50	0	0	182	231	1	50	2.96e-28	104	231
1loe	1LOF:A	100	180	0	0	1	180	1	180	1.20e-129	365	226
1loe	1LOF:D	100	46	0	0	181	226	2	47	9.29e-26	97.8	226
1lte	1LTE:A	100	239	0	0	1	239	1	239	3.65e-175	483	239
2pela	6VAW:D	100	232	0	0	1	232	1	232	3.91e-162	450	232
5cna	7MGC:B	100	118	0	0	120	237	1	118	3.84e-78	238	237
5cna	2A7A:A	100	118	0	0	120	237	1	118	3.97e-78	238	237
5cna	6GW9:A	100	118	0	0	120	237	1	118	3.97e-78	238	237
5cna	4PF5:A	100	118	0	0	120	237	1	118	3.97e-78	238	237
5cna	4PF5:B	100	118	0	0	120	237	1	118	3.97e-78	238	237
5cna	1DQ1:A	100	118	0	0	120	237	1	118	3.97e-78	238	237
5cna	1DQ5:A	100	118	0	0	120	237	1	118	3.97e-78	238	237
5cna	1DQ6:A	100	118	0	0	120	237	1	118	3.97e-78	238	237
5cna	1DQ0:A	100	118	0	0	120	237	1	118	3.97e-78	238	237
5cna	1BXH:A	100	118	0	0	120	237	1	118	3.97e-78	238	237
5cna	1BXH:B	100	118	0	0	120	237	1	118	3.97e-78	238	237
5cna	1BXH:C	100	118	0	0	120	237	1	118	3.97e-78	238	237
5cna	1BXH:D	100	118	0	0	120	237	1	118	3.97e-78	238	237
5cna	2YZ4:A	100	118	0	0	120	237	1	118	3.97e-78	238	237
5cna	1QDO:A	100	118	0	0	120	237	1	118	3.97e-78	238	237
5cna	1QDO:B	100	118	0	0	120	237	1	118	3.97e-78	238	237
5cna	1QDO:C	100	118	0	0	120	237	1	118	3.97e-78	238	237
5cna	1QDO:D	100	118	0	0	120	237	1	118	3.97e-78	238	237
5cna	1QDC:A	100	118	0	0	120	237	1	118	3.97e-78	238	237
5cna	1QDC:B	100	118	0	0	120	237	1	118	3.97e-78	238	237
5cna	1QDC:C	100	118	0	0	120	237	1	118	3.97e-78	238	237
5cna	1QDC:D	100	118	0	0	120	237	1	118	3.97e-78	238	237
5cna	3QLQ:A	100	118	0	0	120	237	1	118	3.97e-78	238	237
5cna	3QLQ:B	100	118	0	0	120	237	1	118	3.97e-78	238	237
5cna	3QLQ:C	100	118	0	0	120	237	1	118	3.97e-78	238	237
1lec	1GSL:A	100	242	0	0	1	242	2	243	1.09e-180	498	242
1sbf	4D69:A	100	234	0	0	1	234	1	234	3.24e-171	473	234
1sbf	4D69:D	100	234	0	0	1	234	1	234	3.24e-171	473	234
1sbf	4D69:F	100	234	0	0	1	234	1	234	3.24e-171	473	234
1sbf	4D69:I	100	234	0	0	1	234	1	234	3.24e-171	473	234
1sbf	1SBF:A	100	234	0	0	1	234	1	234	3.24e-171	473	234
1wbla	2D3S:D	100	237	0	0	1	237	1	237	1.24e-166	476	237
1avba	1AVB:B	100	226	0	0	1	226	1	226	5.58e-159	441	226
1lu1	1BJQ:H	100	253	0	0	1	253	1	253	2.64e-175	485	253
