qseqid	sseqid	pident	length	mismatch	gapopen	qstart	qend	sstart	send	evalue	bitscore	qlen
94	3LTV:D	100	21	0	0	1	21	48	68	9.55e-10	51.6	21
94	3GTT:A	100	21	0	0	1	21	48	68	9.70e-10	51.6	21
94	3GTT:B	100	21	0	0	1	21	48	68	9.70e-10	51.6	21
94	3GTT:C	100	21	0	0	1	21	48	68	9.70e-10	51.6	21
94	3GTT:D	100	21	0	0	1	21	48	68	9.70e-10	51.6	21
94	3GTT:E	100	21	0	0	1	21	48	68	9.70e-10	51.6	21
94	3GTT:F	100	21	0	0	1	21	48	68	9.70e-10	51.6	21
94	3LTV:A	100	21	0	0	1	21	48	68	9.70e-10	51.6	21
94	3LTV:B	100	21	0	0	1	21	48	68	9.70e-10	51.6	21
94	3LTV:C	100	21	0	0	1	21	48	68	9.70e-10	51.6	21
94	3LTV:E	100	21	0	0	1	21	48	68	9.70e-10	51.6	21
94	3LTV:F	100	21	0	0	1	21	48	68	9.70e-10	51.6	21
133	4FF9:A	100	126	0	0	6	131	24	149	2.06e-89	260	131
221	4FF9:A	100	146	0	0	1	146	4	149	6.63e-106	303	146
257	2WWN:A	100	155	0	0	1	155	3	157	1.79e-114	323	155
282	3PU7:B	100	146	0	0	1	146	4	149	2.53e-104	297	146
298	2APS:B	100	151	0	0	1	151	4	154	5.78e-116	327	151
301	5IN2:A	100	149	0	0	1	149	4	152	7.83e-107	303	149
376	2WWN:A	100	157	0	0	6	162	1	157	1.43e-115	326	162
382	2WWN:B	100	154	0	0	11	164	2	155	2.82e-113	320	164
423	6VBS:D	100	155	0	0	2	156	1	155	2.08e-109	310	156
438	1SDY:D	100	147	0	0	1	147	3	149	1.26e-104	298	147
456	1SRD:D	100	154	0	0	1	154	1	154	2.78e-110	312	154
461	2JLP:D	100	150	0	0	1	150	7	156	9.37e-109	309	150
471	5CU9:A	100	150	0	0	1	150	4	153	9.31e-108	306	151
471	4N3U:A	100	149	0	0	1	149	5	153	5.39e-107	304	151
471	4N3T:A	100	149	0	0	1	149	5	153	5.39e-107	304	151
509	2WWN:B	100	155	0	0	6	160	1	155	4.13e-114	322	160
509	2WWO:B	100	155	0	0	6	160	2	156	4.28e-114	322	160
511	3GTT:A	100	146	0	0	1	146	4	149	5.99e-105	298	146
511	3GTT:B	100	146	0	0	1	146	4	149	5.99e-105	298	146
511	3GTT:C	100	146	0	0	1	146	4	149	5.99e-105	298	146
511	3GTT:D	100	146	0	0	1	146	4	149	5.99e-105	298	146
511	3GTT:E	100	146	0	0	1	146	4	149	5.99e-105	298	146
511	3GTT:F	100	146	0	0	1	146	4	149	5.99e-105	298	146
562	6FON:C	100	146	0	0	1	146	78	223	1.55e-104	301	146
609	2WWN:B	100	155	0	0	4	158	1	155	1.88e-114	323	158
609	2WWO:B	100	155	0	0	4	158	2	156	1.95e-114	323	158
645	6ADQ:Z	100	166	0	0	1	166	48	213	9.02e-115	327	166
690	1YAI:B	100	150	0	0	1	150	1	150	2.59e-111	315	150
697	1SDA:Y	100	144	0	0	1	144	4	147	1.04e-104	298	144
714	2AQN:A	100	154	0	0	15	168	1	154	1.03e-118	334	168
714	2AQN:B	100	154	0	0	15	168	1	154	1.03e-118	334	168
714	2AQN:C	100	154	0	0	15	168	1	154	1.03e-118	334	168
768	3L9E:D	100	145	0	0	1	145	5	149	3.45e-104	296	145
822	1SDA:Y	100	121	0	0	1	121	27	147	9.41e-86	249	121
835	2APS:B	100	154	0	0	16	169	1	154	6.24e-118	332	169
882	1JK9:D	100	129	0	0	1	129	78	206	1.64e-90	265	129
886	2AQN:A	100	154	0	0	13	166	1	154	9.53e-119	334	166
886	2AQN:B	100	154	0	0	13	166	1	154	9.53e-119	334	166
