qseqid	sseqid	pident	length	mismatch	gapopen	qstart	qend	sstart	send	evalue	bitscore	qlen
137	4N3U:A	100	148	0	0	1	148	5	152	1.37e-106	303	148
137	4N3T:A	100	148	0	0	1	148	5	152	1.37e-106	303	148
137	5CU9:A	100	148	0	0	1	148	4	151	1.37e-106	303	148
201	1PZS:A	100	166	0	0	1	166	3	168	2.37e-118	334	166
223	4FF9:A	100	126	0	0	6	131	24	149	2.06e-89	260	131
264	2AQN:A	100	154	0	0	15	168	1	154	1.03e-118	334	168
264	2AQN:B	100	154	0	0	15	168	1	154	1.03e-118	334	168
264	2AQN:C	100	154	0	0	15	168	1	154	1.03e-118	334	168
274	1SDA:Y	100	151	0	0	1	151	1	151	3.68e-109	309	151
281	2JLP:D	100	149	0	0	1	149	8	156	2.58e-108	308	149
289	1JK9:D	100	129	0	0	1	129	78	206	1.64e-90	265	129
321	3F7K:A	100	144	0	0	1	144	4	147	1.22e-103	295	144
327	8JD8:D	100	145	0	0	1	145	5	149	1.16e-104	298	145
366	3GTT:A	100	146	0	0	1	146	4	149	5.99e-105	298	146
366	3GTT:B	100	146	0	0	1	146	4	149	5.99e-105	298	146
366	3GTT:C	100	146	0	0	1	146	4	149	5.99e-105	298	146
366	3GTT:D	100	146	0	0	1	146	4	149	5.99e-105	298	146
366	3GTT:E	100	146	0	0	1	146	4	149	5.99e-105	298	146
366	3GTT:F	100	146	0	0	1	146	4	149	5.99e-105	298	146
422	3PU7:B	100	146	0	0	1	146	4	149	2.53e-104	297	146
439	1SDA:Y	100	121	0	0	1	121	27	147	9.41e-86	249	121
460	6FON:C	100	146	0	0	1	146	78	223	1.55e-104	301	146
495	1U3N:A	100	149	0	0	1	149	7	155	3.49e-109	310	149
600	2AQN:A	100	154	0	0	13	166	1	154	9.53e-119	334	166
600	2AQN:B	100	154	0	0	13	166	1	154	9.53e-119	334	166
600	2AQN:C	100	154	0	0	13	166	1	154	9.53e-119	334	166
607	2APS:B	100	151	0	0	1	151	4	154	5.78e-116	327	151
614	1Z9N:D	100	154	0	0	23	176	1	154	6.83e-117	330	176
696	2Q2L:B	100	145	0	0	1	145	4	148	1.36e-105	300	145
722	4FF9:A	100	146	0	0	1	146	4	149	6.63e-106	303	146
752	8IHV:A	100	41	0	0	1	41	25	65	5.11e-25	89.4	41
752	8IHV:B	100	41	0	0	1	41	25	65	5.11e-25	89.4	41
752	8IHV:C	100	41	0	0	1	41	25	65	5.11e-25	89.4	41
752	8IHU:A	100	41	0	0	1	41	28	68	5.54e-25	89.4	41
752	8IHU:B	100	41	0	0	1	41	28	68	5.54e-25	89.4	41
752	8IHU:C	100	41	0	0	1	41	28	68	5.54e-25	89.4	41
752	7VZF:A	100	41	0	0	1	41	107	147	4.63e-24	89.4	41
752	7VZF:B	100	41	0	0	1	41	107	147	4.63e-24	89.4	41
752	7VZF:C	100	41	0	0	1	41	107	147	4.63e-24	89.4	41
752	2ZKW:A	100	41	0	0	1	41	108	148	4.63e-24	89.4	41
752	2ZKX:C	100	41	0	0	1	41	108	148	4.63e-24	89.4	41
752	1HL5:F	100	41	0	0	1	41	107	147	4.63e-24	89.4	41
752	3CQP:A	100	41	0	0	1	41	108	148	4.75e-24	89.4	41
752	3CQP:B	100	41	0	0	1	41	108	148	4.75e-24	89.4	41
752	3CQP:D	100	41	0	0	1	41	108	148	4.75e-24	89.4	41
752	2ZKW:B	100	41	0	0	1	41	109	149	4.75e-24	89.4	41
752	2ZKY:A	100	41	0	0	1	41	108	148	4.75e-24	89.4	41
752	2ZKY:B	100	41	0	0	1	41	108	148	4.75e-24	89.4	41
752	1HL5:L	100	41	0	0	1	41	108	148	4.75e-24	89.4	41
752	1HL5:M	100	41	0	0	1	41	108	148	4.75e-24	89.4	41
752	5YTU:I	100	41	0	0	1	41	108	148	4.75e-24	89.4	41
752	5YTU:J	100	41	0	0	1	41	108	148	4.75e-24	89.4	41
752	7XX3:G	100	41	0	0	1	41	108	148	4.75e-24	89.4	41
752	4MCM:C	100	41	0	0	1	41	108	148	4.75e-24	89.4	41
752	4MCM:E	100	41	0	0	1	41	108	148	4.75e-24	89.4	41
757	2WWN:B	100	155	0	0	7	161	1	155	4.30e-114	322	161
757	2WWO:B	100	155	0	0	7	161	2	156	4.46e-114	322	161
796	2WWN:B	100	155	0	0	4	158	1	155	1.88e-114	323	158
796	2WWO:B	100	155	0	0	4	158	2	156	1.95e-114	323	158
827	1SDY:D	100	147	0	0	1	147	3	149	1.26e-104	298	147
868	6ADQ:Z	100	166	0	0	1	166	48	213	9.02e-115	327	166
884	2E46:A	100	153	0	0	3	155	2	154	2.02e-113	320	155
886	1SRD:D	100	149	0	0	2	150	1	149	1.54e-106	303	150
903	2Q2L:B	100	126	0	0	3	128	22	147	8.85e-93	267	128
911	1SRD:D	100	154	0	0	1	154	1	154	2.78e-110	312	154
928	5CU9:A	100	150	0	0	1	150	4	153	9.31e-108	306	151
928	4N3U:A	100	149	0	0	1	149	5	153	5.39e-107	304	151
928	4N3T:A	100	149	0	0	1	149	5	153	5.39e-107	304	151
934	3LTV:D	100	21	0	0	1	21	48	68	9.55e-10	51.6	21
934	3GTT:A	100	21	0	0	1	21	48	68	9.70e-10	51.6	21
934	3GTT:B	100	21	0	0	1	21	48	68	9.70e-10	51.6	21
934	3GTT:C	100	21	0	0	1	21	48	68	9.70e-10	51.6	21
934	3GTT:D	100	21	0	0	1	21	48	68	9.70e-10	51.6	21
934	3GTT:E	100	21	0	0	1	21	48	68	9.70e-10	51.6	21
934	3GTT:F	100	21	0	0	1	21	48	68	9.70e-10	51.6	21
934	3LTV:A	100	21	0	0	1	21	48	68	9.70e-10	51.6	21
934	3LTV:B	100	21	0	0	1	21	48	68	9.70e-10	51.6	21
934	3LTV:C	100	21	0	0	1	21	48	68	9.70e-10	51.6	21
934	3LTV:E	100	21	0	0	1	21	48	68	9.70e-10	51.6	21
934	3LTV:F	100	21	0	0	1	21	48	68	9.70e-10	51.6	21
