	qseqid	sseqid	pident	length	mismatch	gapopen	qstart	qend	sstart	send	evalue	bitscore	qlen
0	1zrp	5NW3:A	100	53	0	0	1	53	2	54	1.51e-38	123.0	53
1	4rxn	5RXN:A	100	54	0	0	1	54	1	54	7.8e-39	124.0	54
2	4rxn	4RXN:A	100	54	0	0	1	54	1	54	7.8e-39	124.0	54
3	1rdg	1E8J:A	100	52	0	0	1	52	1	52	1.33e-36	118.0	52
4	6rxn	6NW0:B	100	45	0	0	1	45	1	45	9.48e-34	110.0	45
5	C5U318_DESVU/3-49	8RXN:A	100	47	0	0	1	47	3	49	8.54e-34	111.0	47
6	RUBR_DESVM/3-49	1RDV:A	100	47	0	0	1	47	3	49	6.01e-34	111.0	47
7	Q7BGE8_DESGI/3-49	1E8J:A	100	47	0	0	1	47	3	49	4.9600000000000004e-33	109.0	47
8	O86139_CLOBU/1-26	2PVE:A	100	26	0	0	1	26	11	36	1.13e-12	57.0	26
9	O86139_CLOBU/1-26	2PVE:B	100	26	0	0	1	26	11	36	1.13e-12	57.0	26
10	O86139_CLOBU/1-26	2PVE:C	100	26	0	0	1	26	11	36	1.13e-12	57.0	26
11	O86139_CLOBU/1-26	1T9O:A	100	26	0	0	1	26	11	36	1.16e-12	57.0	26
12	O86139_CLOBU/1-26	1T9O:B	100	26	0	0	1	26	11	36	1.16e-12	57.0	26
13	O86139_CLOBU/1-26	1T9O:C	100	26	0	0	1	26	11	36	1.16e-12	57.0	26
14	O86139_CLOBU/1-26	1T9Q:A	100	26	0	0	1	26	11	36	1.16e-12	57.0	26
15	O86139_CLOBU/1-26	1R0J:A	100	26	0	0	1	26	11	36	1.16e-12	57.0	26
16	O86139_CLOBU/1-26	1R0I:A	100	26	0	0	1	26	11	36	1.16e-12	57.0	26
17	O86139_CLOBU/1-26	1R0F:A	100	26	0	0	1	26	11	36	1.16e-12	57.0	26
18	O86139_CLOBU/1-26	1R0G:A	100	26	0	0	1	26	11	36	1.16e-12	57.0	26
19	O86139_CLOBU/1-26	1R0H:A	100	26	0	0	1	26	11	36	1.16e-12	57.0	26
20	O86139_CLOBU/1-26	1C09:A	100	26	0	0	1	26	11	36	1.16e-12	57.0	26
21	O86139_CLOBU/1-26	1C09:B	100	26	0	0	1	26	11	36	1.16e-12	57.0	26
22	O86139_CLOBU/1-26	1C09:C	100	26	0	0	1	26	11	36	1.16e-12	57.0	26
23	O86139_CLOBU/1-26	1FHM:A	100	26	0	0	1	26	11	36	1.16e-12	57.0	26
24	O86139_CLOBU/1-26	1FHH:A	100	26	0	0	1	26	11	36	1.16e-12	57.0	26
25	O86139_CLOBU/1-26	1IRO:A	100	26	0	0	1	26	11	36	1.16e-12	57.0	26
26	O86139_CLOBU/1-26	1IRN:A	100	26	0	0	1	26	11	36	1.16e-12	57.0	26
27	O86139_CLOBU/1-26	1T9P:A	100	26	0	0	1	26	11	36	1.19e-12	57.0	26
28	O86139_CLOBU/1-26	1T9P:B	100	26	0	0	1	26	11	36	1.19e-12	57.0	26
29	O86139_CLOBU/1-26	1T9P:C	100	26	0	0	1	26	11	36	1.19e-12	57.0	26
30	O86139_CLOBU/1-26	1BE7:A	100	26	0	0	1	26	11	36	1.19e-12	57.0	26
31	O86139_CLOBU/1-26	1SMM:A	100	26	0	0	1	26	11	36	1.19e-12	57.0	26
32	O86139_CLOBU/1-26	1SMW:A	100	26	0	0	1	26	11	36	1.19e-12	57.0	26
33	RUBR_CLOPA/3-49	5UIW:A	100	47	0	0	1	47	988	1034	5.7200000000000005e-31	114.0	47
34	RUBR1_DESDA/3-42	6NW0:B	100	40	0	0	1	40	3	42	2.48e-30	102.0	40
35	B2N1G8_ECOLX/425-471	2MS3:A	100	47	0	0	1	47	3	49	9.66e-34	111.0	47
36	A0PRF8_MYCUA/3-50	2M4Y:A	100	48	0	0	1	48	3	50	3.54e-36	117.0	48
37	C1AH24_MYCBT/6-52	2KN9:A	100	47	0	0	1	47	27	73	4.54e-34	112.0	47
38	A6VEF8_PSEA7/3-49	2V3B:B	100	47	0	0	1	47	3	49	9.05e-36	116.0	47
39	RUBR2_PSEOL/121-167	1S24:A	100	47	0	0	1	47	4	50	6.85e-36	116.0	47
40	RUBR_PYRFU/3-49	5NW3:A	100	47	0	0	1	47	3	49	1.09e-34	113.0	47
41	RUBR_PYRAB/3-49	1YK5:D	100	47	0	0	1	47	3	49	1.51e-34	113.0	47
42	P94698_DESVU/7-55	8ITO:B	100	49	0	0	1	49	6	54	5.11e-37	120.0	49
43	Q9XG40_GUITH/63-109	1DX8:A	100	47	0	0	1	47	7	53	1.1200000000000001e-32	108.0	47
44	1rb9	8RXN:A	100	52	0	0	1	52	1	52	3.2600000000000003e-37	120.0	52
45	A1V9W1_DESVV/3-49	8RXN:A	100	47	0	0	1	47	3	49	8.54e-34	111.0	47
46	RUBR_DESVH/3-49	8RXN:A	100	47	0	0	1	47	3	49	8.54e-34	111.0	47
47	RUBR_DESGI/3-49	1E8J:A	100	47	0	0	1	47	3	49	4.9600000000000004e-33	109.0	47
48	NORV_ECOLC/425-471	2MS3:A	100	47	0	0	1	47	3	49	9.66e-34	111.0	47
49	B5Z371_ECO5E/425-471	2MS3:A	100	47	0	0	1	47	3	49	9.66e-34	111.0	47
50	B6ZWA7_ECO57/357-403	2MS3:A	100	47	0	0	1	47	3	49	9.66e-34	111.0	47
51	NORV_ECO24/425-471	2MS3:A	100	47	0	0	1	47	3	49	9.66e-34	111.0	47
52	C6UC59_ECOBR/425-471	2MS3:A	100	47	0	0	1	47	3	49	9.66e-34	111.0	47
53	B2NRJ8_ECO57/425-471	2MS3:A	100	47	0	0	1	47	3	49	9.66e-34	111.0	47
54	C9R0H2_ECOD1/425-471	2MS3:A	100	47	0	0	1	47	3	49	9.66e-34	111.0	47
55	B7NSJ0_ECO7I/425-471	2MS3:A	100	47	0	0	1	47	3	49	9.66e-34	111.0	47
56	NORV_SHIDS/425-471	2MS3:A	100	47	0	0	1	47	3	49	9.66e-34	111.0	47
57	B7LW24_ESCF3/425-471	2MS3:A	100	47	0	0	1	47	3	49	9.66e-34	111.0	47
58	NORV_ECODH/425-471	2MS3:A	100	47	0	0	1	47	3	49	9.66e-34	111.0	47
59	NORV_ECOUT/425-471	2MS3:A	100	47	0	0	1	47	3	49	9.66e-34	111.0	47
60	C8UER2_ECO1A/425-471	2MS3:A	100	47	0	0	1	47	3	49	9.66e-34	111.0	47
61	NORV_ECOL5/425-471	2MS3:A	100	47	0	0	1	47	3	49	9.66e-34	111.0	47
62	C1NCQ9_9ESCH/425-471	2MS3:A	100	47	0	0	1	47	3	49	9.66e-34	111.0	47
63	C5W821_ECOBB/425-471	2MS3:A	100	47	0	0	1	47	3	49	9.66e-34	111.0	47
64	NORV_SHISS/425-471	2MS3:A	100	47	0	0	1	47	3	49	9.66e-34	111.0	47
65	NORV_SHIFL/425-471	2MS3:A	100	47	0	0	1	47	3	49	9.66e-34	111.0	47
66	NORV_ECOL6/425-471	2MS3:A	100	47	0	0	1	47	3	49	9.66e-34	111.0	47
67	C6EJS1_ECOBD/425-471	2MS3:A	100	47	0	0	1	47	3	49	9.66e-34	111.0	47
68	B3XHG3_ECOLX/425-471	2MS3:A	100	47	0	0	1	47	3	49	9.66e-34	111.0	47
69	C6URP1_ECO5T/425-471	2MS3:A	100	47	0	0	1	47	3	49	9.66e-34	111.0	47
70	B3BJ91_ECO57/425-471	2MS3:A	100	47	0	0	1	47	3	49	9.66e-34	111.0	47
