qseqid	sseqid	pident	length	mismatch	gapopen	qstart	qend	sstart	send	evalue	bitscore	qlen
6	2R3Z:A	100	58	0	0	1	58	11	68	4.49e-37	120	58
10	2KUM:A	100	66	0	0	1	66	3	68	4.52e-45	141	66
14	5CMD:F	100	61	0	0	3	63	1	61	2.67e-43	136	63
14	6C6D:L	100	61	0	0	3	63	1	61	2.67e-43	136	63
14	5L2U:D	100	61	0	0	3	63	1	61	2.75e-43	136	63
14	5L2U:F	100	61	0	0	3	63	1	61	2.75e-43	136	63
14	5L2U:G	100	61	0	0	3	63	1	61	2.75e-43	136	63
14	5L2U:H	100	61	0	0	3	63	1	61	2.75e-43	136	63
14	6AEZ:A	100	61	0	0	3	63	1	61	2.75e-43	136	63
14	5CMD:A	100	61	0	0	3	63	1	61	2.75e-43	136	63
14	5CMD:C	100	61	0	0	3	63	1	61	2.75e-43	136	63
14	5CMD:D	100	61	0	0	3	63	1	61	2.75e-43	136	63
14	5CMD:E	100	61	0	0	3	63	1	61	2.75e-43	136	63
14	6C6D:A	100	61	0	0	3	63	1	61	2.75e-43	136	63
14	6C6D:C	100	61	0	0	3	63	1	61	2.75e-43	136	63
14	6C6D:E	100	61	0	0	3	63	1	61	2.75e-43	136	63
14	6C6D:G	100	61	0	0	3	63	1	61	2.75e-43	136	63
14	6C6D:I	100	61	0	0	3	63	1	61	2.75e-43	136	63
14	6C6D:K	100	61	0	0	3	63	1	61	2.75e-43	136	63
14	6C6D:M	100	61	0	0	3	63	1	61	2.75e-43	136	63
14	6C6D:O	100	61	0	0	3	63	1	61	2.75e-43	136	63
14	6C6D:Q	100	61	0	0	3	63	1	61	2.75e-43	136	63
14	6C6D:S	100	61	0	0	3	63	1	61	2.75e-43	136	63
14	6C6D:B	100	60	0	0	4	63	1	60	1.06e-42	134	63
14	6C6D:F	100	60	0	0	4	63	1	60	1.06e-42	134	63
14	6C6D:H	100	60	0	0	4	63	1	60	1.06e-42	134	63
14	6C6D:N	100	60	0	0	4	63	1	60	1.06e-42	134	63
43	2HCC:A	100	61	0	0	2	62	1	61	3.14e-40	128	62
46	1F9P:A	100	66	0	0	1	66	13	78	3.54e-43	136	66
57	1HA6:A	100	63	0	0	3	65	1	63	1.44e-42	134	65
59	1RJT:A	100	66	0	0	1	66	3	68	8.09e-43	135	66
62	1B2T:A	100	62	0	0	1	62	5	66	8.95e-42	132	62
73	1NCV:B	100	65	0	0	1	65	3	67	6.16e-45	140	65
79	6EHZ:A	100	64	0	0	1	64	3	66	3.79e-43	137	64
87	1J8I:A	100	62	0	0	1	62	2	63	9.30e-38	123	62
92	2MGS:B	100	64	0	0	4	67	1	64	1.33e-41	132	67
96	5LTL:B	100	60	0	0	2	61	1	60	1.18e-42	134	61
111	1RHP:A	100	64	0	0	1	64	1	64	9.64e-42	132	64
111	1RHP:B	100	64	0	0	1	64	1	64	9.64e-42	132	64
111	1RHP:C	100	64	0	0	1	64	1	64	9.64e-42	132	64
111	1RHP:D	100	64	0	0	1	64	1	64	9.64e-42	132	64
111	4R9W:B	100	64	0	0	1	64	1	64	9.64e-42	132	64
111	1F9Q:A	100	64	0	0	1	64	1	64	9.64e-42	132	64
111	4R9Y:A	100	64	0	0	1	64	2	65	9.90e-42	132	64
111	4R9Y:B	100	64	0	0	1	64	2	65	9.90e-42	132	64
111	4R9Y:C	100	64	0	0	1	64	2	65	9.90e-42	132	64
111	4R9Y:D	100	64	0	0	1	64	2	65	9.90e-42	132	64
111	1F9Q:D	100	64	0	0	1	64	3	66	1.02e-41	132	64
111	4RAU:I	100	63	0	0	1	63	4	66	5.90e-41	130	64
111	4RAU:X	100	63	0	0	1	63	4	66	5.90e-41	130	64
111	4RAU:C	100	62	0	0	1	62	4	65	3.33e-40	128	64
111	4RAU:F	100	62	0	0	1	62	4	65	3.33e-40	128	64
111	4RAU:L	100	62	0	0	1	62	4	65	3.33e-40	128	64
111	4RAU:O	100	62	0	0	1	62	4	65	3.33e-40	128	64
111	4RAU:R	100	62	0	0	1	62	4	65	3.33e-40	128	64
111	4RAU:U	100	62	0	0	1	62	4	65	3.33e-40	128	64
111	1F9Q:B	100	62	0	0	3	64	1	62	4.37e-40	128	64
111	1F9Q:C	100	62	0	0	3	64	1	62	4.37e-40	128	64
111	4R9W:A	100	62	0	0	2	63	1	62	6.21e-40	127	64
122	2R3Z:A	100	66	0	0	1	66	3	68	2.45e-43	136	66
