	qseqid	sseqid	pident	length	mismatch	gapopen	qstart	qend	sstart	send	evalue	bitscore	qlen
0	A5EVD0_DICNV/147-460	3TI7:A	100	314	0	0	1	314	14	327	7.579999999999999e-230	629	314
1	BPRV_DICNO/147-460	3TI7:A	100	314	0	0	1	314	14	327	7.579999999999999e-230	629	314
2	A5EXI3_DICNV/144-457	3LPA:A	100	314	0	0	1	314	14	327	4.38e-229	627	314
3	P96144_THEVU/1-149	1THM:A	100	149	0	0	1	149	99	247	6.749999999999999e-94	275	149
4	THET_THEVU/13-275	3TEC:E	100	263	0	0	1	263	13	275	8.17e-181	500	263
5	Q7KAN4_PLAFA/356-664	4LVO:A	100	309	0	0	1	309	23	331	3.4500000000000004e-226	619	309
6	O61142_PLAFA/357-665	4LVO:A	100	309	0	0	1	309	23	331	3.4500000000000004e-226	619	309
7	Q8I0V0_PLAF7/355-663	4LVO:A	100	309	0	0	1	309	23	331	3.4500000000000004e-226	619	309
8	Q868D6_PLAFA/357-666	4LVO:A	100	310	0	0	1	310	23	332	8.82e-227	621	310
9	Q2EN91_9GAMM/140-442	3VV3:B	100	303	0	0	1	303	23	325	4.4200000000000004e-212	583	303
10	Q65DC7_BACLD/127-429	4ZOQ:P	100	303	0	0	1	303	24	326	7.38e-222	608	303
11	D1GNT7_STAA0/114-441	3QFH:H	100	328	0	0	1	328	87	414	5.68e-239	656	328
12	C8LDZ1_STAAU/114-441	3QFH:H	100	328	0	0	1	328	87	414	5.68e-239	656	328
13	Q5HEV5_STAAC/114-441	3QFH:H	100	328	0	0	1	328	87	414	5.68e-239	656	328
14	A8Z4P4_STAAT/114-441	3QFH:H	100	328	0	0	1	328	87	414	5.68e-239	656	328
15	C5QKG8_STAAU/114-441	3QFH:H	100	328	0	0	1	328	87	414	5.68e-239	656	328
16	Q6G8B5_STAAS/114-441	3QFH:H	100	328	0	0	1	328	87	414	5.68e-239	656	328
17	C8KPC5_STAAU/114-441	3QFH:H	100	328	0	0	1	328	87	414	5.68e-239	656	328
18	D1QB05_STAAU/114-441	3QFH:H	100	328	0	0	1	328	87	414	5.68e-239	656	328
19	Q2FFS4_STAA3/114-441	3QFH:H	100	328	0	0	1	328	87	414	5.68e-239	656	328
20	Q2FXB6_STAA8/114-441	3QFH:H	100	328	0	0	1	328	87	414	5.68e-239	656	328
21	Q8NVW9_STAAW/114-441	3QFH:H	100	328	0	0	1	328	87	414	5.68e-239	656	328
22	A6QI02_STAAE/114-441	3QFH:H	100	328	0	0	1	328	87	414	5.68e-239	656	328
23	Q8GB52_9VIBR/151-411	1S2N:A	100	261	0	0	1	261	12	272	3.3e-180	499	261
24	AQL1_THEAQ/141-396	4DZT:A	100	256	0	0	1	256	14	269	2.06e-176	489	256
25	O74265_ASPFU/76-336	8U45:C	100	261	0	0	1	261	16	276	1.33e-177	492	261
26	B0Y708_ASPFC/137-397	8U45:C	100	261	0	0	1	261	16	276	1.33e-177	492	261
27	ORYZ_ASPFU/137-397	8U45:C	100	261	0	0	1	261	16	276	1.33e-177	492	261
28	A5JUY3_PENCH/57-248	5Z6O:A	100	192	0	0	1	192	17	208	6.55e-123	351	192
29	Q01471_9HYPO/100-356	3F7O:B	100	257	0	0	1	257	17	273	2.46e-177	491	257
30	D2KLJ3_9HYPO/17-273	3F7O:B	100	257	0	0	1	257	17	273	2.46e-177	491	257
31	PRTK_TRIAL/120-375	8SDK:A	100	256	0	0	1	256	15	270	2.9200000000000002e-179	496	256
32	A0QNL1_MYCS2/67-381	4KB5:A	100	315	0	0	1	315	69	383	3.0099999999999997e-228	628	315
33	Q8GB88_9BACL/266-519	1SIO:A	100	254	0	0	1	254	77	330	2.75e-179	499	254
34	Q8RR56_9BACI/195-515	1GT9:1	100	321	0	0	1	321	7	327	1.69e-232	637	321
35	Q8RR56_9BACI/195-515	1GT9:2	100	321	0	0	1	321	7	327	1.69e-232	637	321
36	Q8RR56_9BACI/195-515	1GTJ:1	100	321	0	0	1	321	7	327	1.69e-232	637	321
37	Q8RR56_9BACI/195-515	1GTJ:2	100	321	0	0	1	321	7	327	1.69e-232	637	321
38	Q8RR56_9BACI/195-515	1GTG:1	100	321	0	0	1	321	7	327	1.69e-232	637	321
39	Q8RR56_9BACI/195-515	1GTL:1	100	321	0	0	1	321	7	327	1.69e-232	637	321
40	Q8RR56_9BACI/195-515	1GTL:2	100	321	0	0	1	321	7	327	1.69e-232	637	321
41	PICP_PSESR/226-552	1GA1:A	100	327	0	0	1	327	9	335	3.91e-229	629	327
42	B4DIV8_HUMAN/264-509	3EE6:B	100	246	0	0	1	246	236	481	1.28e-174	494	246
43	D3DQU2_HUMAN/264-507	3EE6:B	100	244	0	0	1	244	236	479	7.82e-173	489	244
44	TPP1_PANTR/255-498	3EE6:B	100	244	0	0	1	244	236	479	7.82e-173	489	244
45	B5MDC1_HUMAN/255-498	3EE6:B	100	244	0	0	1	244	236	479	7.82e-173	489	244
46	TPP1_HUMAN/255-498	3EE6:B	100	244	0	0	1	244	236	479	7.82e-173	489	244
47	B4DSE2_HUMAN/76-320	3EE6:B	100	245	0	0	1	245	235	479	1.4200000000000002e-173	491	245
48	B4E0C7_HUMAN/187-431	3EE6:B	100	245	0	0	1	245	235	479	1.4200000000000002e-173	491	245
49	B2R608_HUMAN/257-498	3EE6:B	100	242	0	0	1	242	238	479	2.9199999999999996e-172	488	242
50	Q6GTN6_MOUSE/127-427	1P8J:A	100	301	0	0	1	301	19	319	2.28e-222	615	301
51	FURIN_MOUSE/127-427	1P8J:A	100	301	0	0	1	301	19	319	2.28e-222	615	301
52	FURIN_HUMAN/127-427	7QXY:A	100	301	0	0	1	301	19	319	3.6000000000000004e-222	614	301
53	Q9TTJ8_RABIT/69-135	7QXY:A	100	67	0	0	1	67	19	85	9.349999999999999e-42	143	67
54	C7GPC2_YEAS2/149-445	1R64:B	100	297	0	0	1	297	29	325	5.79e-222	614	297
55	KEX2_YEAST/149-445	1R64:B	100	297	0	0	1	297	29	325	5.79e-222	614	297
56	C8ZFZ8_YEAS8/149-445	1R64:B	100	297	0	0	1	297	29	325	5.79e-222	614	297
57	B3LP77_YEAS1/149-445	1R64:B	100	297	0	0	1	297	29	325	5.79e-222	614	297
58	Q9L5A4_AERSO/77-416	3HJR:A	100	340	0	0	1	340	51	390	8.5e-239	663	340
59	MBTP1_HUMAN/192-464	8UW8:A	100	273	0	0	1	273	3	275	3.15e-194	552	273
60	A8K6V8_HUMAN/192-464	8UW8:A	100	273	0	0	1	273	3	275	3.15e-194	552	273
61	A6NMF3_HUMAN/192-464	8UW8:A	100	273	0	0	1	273	3	275	3.15e-194	552	273
62	B4DR21_HUMAN/41-313	8UW8:A	100	273	0	0	1	273	3	275	3.15e-194	552	273
63	Q0TM89_CLOP1/99-379	4I0W:D	100	281	0	0	1	281	3	283	2.49e-199	556	281
64	B6ETQ5_STRPY/77-541	7YZX:A	100	465	0	0	1	465	14	478	0.0	914	465
65	Q53637_STRAG/107-571	1XF1:B	100	465	0	0	1	465	2	466	0.0	910	465
66	A0FHK0_STRAG/3-120	1XF1:A	100	118	0	0	1	118	45	162	5.77e-72	233	118
67	A0FHK0_STRAG/3-120	1XF1:B	100	118	0	0	1	118	45	162	5.77e-72	233	118
68	A0FHK0_STRAG/3-120	8BTY:A	100	118	0	0	1	118	54	171	6.33e-72	233	118
69	Q6EZC2_ECOLX/32-320	4BWG:A	100	289	0	0	1	289	10	298	1.29e-203	561	289
70	Q65Z69_9GAMM/152-412	1V6C:B	100	261	0	0	1	261	8	268	6.01e-178	499	261
71	TKSU_PYRKO/112-409	2Z2X:A	100	298	0	0	1	298	8	305	4.34e-215	590	298
72	ELYA_BACAO/117-371	1AH2:A	100	255	0	0	1	255	6	260	5.98e-174	482	255
73	SUBS_BACLE/6-260	4CFY:A	100	255	0	0	1	255	6	260	6.98e-173	479	255
74	SUBS_BACLE/6-260	4CFZ:A	100	255	0	0	1	255	6	260	6.98e-173	479	255
75	SUBS_BACLE/6-260	6Y5S:A	100	255	0	0	1	255	6	260	6.98e-173	479	255
76	SUBS_BACLE/6-260	6Y5T:A	100	255	0	0	1	255	6	260	6.98e-173	479	255
77	SUBS_BACLE/6-260	4CG0:A	100	255	0	0	1	255	6	260	6.98e-173	479	255
78	ELYA_BACCS/117-371	4CFY:A	100	255	0	0	1	255	6	260	6.98e-173	479	255
79	ELYA_BACCS/117-371	4CFZ:A	100	255	0	0	1	255	6	260	6.98e-173	479	255
