	qseqid	sseqid	pident	length	mismatch	gapopen	qstart	qend	sstart	send	evalue	bitscore	qlen
0	1sdf	1SDF:A	100	67	0	0	1	67	1	67	1.5499999999999999e-46	144.0	67
1	1sdf	2SDF:A	100	67	0	0	1	67	1	67	1.5499999999999999e-46	144.0	67
2	1sdf	7SK3:B	100	67	0	0	1	67	1	67	1.5899999999999999e-46	144.0	67
3	1sdf	2J7Z:A	100	67	0	0	1	67	1	67	1.5899999999999999e-46	144.0	67
4	1sdf	2J7Z:B	100	67	0	0	1	67	1	67	1.5899999999999999e-46	144.0	67
5	1sdf	2KED:A	100	67	0	0	1	67	1	67	1.5899999999999999e-46	144.0	67
6	1sdf	2KEE:A	100	67	0	0	1	67	1	67	1.5899999999999999e-46	144.0	67
7	1sdf	2KEC:A	100	67	0	0	1	67	1	67	1.5899999999999999e-46	144.0	67
8	1sdf	4UAI:A	100	67	0	0	1	67	1	67	1.5899999999999999e-46	144.0	67
9	CCL23_HUMAN/47-109	1G91:A	100	63	0	0	1	63	4	66	5.61e-43	135.0	63
10	1b3aa	2L9H:A	100	67	0	0	1	67	1	67	1.8800000000000001e-47	147.0	67
11	1b3aa	2L9H:C	100	67	0	0	1	67	1	67	1.8800000000000001e-47	147.0	67
12	1b3aa	1B3A:A	100	67	0	0	1	67	1	67	1.8800000000000001e-47	147.0	67
13	1b3aa	1B3A:B	100	67	0	0	1	67	1	67	1.8800000000000001e-47	147.0	67
14	1b3aa	1U4M:A	100	67	0	0	1	67	1	67	1.8800000000000001e-47	147.0	67
15	1b3aa	1U4L:A	100	67	0	0	1	67	1	67	1.8800000000000001e-47	147.0	67
16	1b3aa	1RTO:A	100	67	0	0	1	67	2	68	1.9300000000000002e-47	147.0	67
17	1b3aa	1RTO:B	100	67	0	0	1	67	2	68	1.9300000000000002e-47	147.0	67
18	1b3aa	1RTN:A	100	67	0	0	1	67	2	68	1.9300000000000002e-47	147.0	67
19	1b3aa	1RTN:B	100	67	0	0	1	67	2	68	1.9300000000000002e-47	147.0	67
20	1b3aa	1HRJ:A	100	67	0	0	1	67	2	68	1.9300000000000002e-47	147.0	67
21	1b3aa	1HRJ:B	100	67	0	0	1	67	2	68	1.9300000000000002e-47	147.0	67
22	CCL13_HUMAN/26-89	2RA4:B	100	64	0	0	1	64	1	64	2.4299999999999996e-42	134.0	64
23	1huma	1HUN:B	100	69	0	0	1	69	1	69	1.0700000000000001e-47	147.0	69
24	XCL1_HUMAN/23-84	1J8I:A	100	62	0	0	1	62	2	63	9.3e-38	123.0	62
25	CCL18_HUMAN/21-85	4MHE:B	100	65	0	0	1	65	2	66	4.31e-46	143.0	65
26	2eot	2MPM:A	100	74	0	0	1	74	1	74	2.72e-50	154.0	74
27	1tvxa	1TVX:A	100	64	0	0	1	64	1	64	4.7699999999999995e-42	133.0	64
28	1tvxa	1TVX:C	100	64	0	0	1	64	1	64	4.7699999999999995e-42	133.0	64
29	1tvxa	1NAP:A	100	64	0	0	1	64	3	66	5.0399999999999995e-42	133.0	64
30	1tvxa	1NAP:B	100	64	0	0	1	64	3	66	5.0399999999999995e-42	133.0	64
31	1tvxa	1NAP:D	100	64	0	0	1	64	3	66	5.0399999999999995e-42	133.0	64
32	1tvxa	1TVX:B	100	64	0	0	1	64	8	71	5.779999999999999e-42	133.0	64
33	1tvxa	1TVX:D	100	64	0	0	1	64	8	71	5.779999999999999e-42	133.0	64
34	1plfa	1PLF:D	100	63	0	0	1	63	3	65	5.5e-41	130.0	63
35	Q9QX28_MOUSE/24-86	5IZB:A	100	63	0	0	1	63	4	66	3.95e-43	136.0	63
36	1mi2a	1MI2:B	100	73	0	0	1	73	1	73	2.4499999999999998e-48	149.0	73
37	1roda	1ROD:B	100	72	0	0	1	72	1	72	2.2799999999999998e-48	149.0	72
38	1rhpa	1RHP:A	100	64	0	0	1	64	1	64	9.64e-42	132.0	64
39	1rhpa	1RHP:B	100	64	0	0	1	64	1	64	9.64e-42	132.0	64
40	1rhpa	1RHP:C	100	64	0	0	1	64	1	64	9.64e-42	132.0	64
41	1rhpa	1RHP:D	100	64	0	0	1	64	1	64	9.64e-42	132.0	64
42	1rhpa	4R9W:B	100	64	0	0	1	64	1	64	9.64e-42	132.0	64
43	1rhpa	1F9Q:A	100	64	0	0	1	64	1	64	9.64e-42	132.0	64
44	1rhpa	4R9Y:A	100	64	0	0	1	64	2	65	9.9e-42	132.0	64
45	1rhpa	4R9Y:B	100	64	0	0	1	64	2	65	9.9e-42	132.0	64
46	1rhpa	4R9Y:C	100	64	0	0	1	64	2	65	9.9e-42	132.0	64
47	1rhpa	4R9Y:D	100	64	0	0	1	64	2	65	9.9e-42	132.0	64
48	1rhpa	1F9Q:D	100	64	0	0	1	64	3	66	1.02e-41	132.0	64
49	Q5VZ77_HUMAN/27-92	2KUM:A	100	66	0	0	1	66	3	68	4.52e-45	141.0	66
50	CCL28_HUMAN/25-88	6CWS:A	100	64	0	0	1	64	6	69	1.0399999999999998e-42	136.0	64
51	Q96KF0_HUMAN/24-73	1RJT:A	100	50	0	0	1	50	3	52	1.62e-31	106.0	50
52	CXL11_HUMAN/24-89	1RJT:A	100	66	0	0	1	66	3	68	8.09e-43	135.0	66
