qseqid	sseqid	pident	length	mismatch	gapopen	qstart	qend	sstart	send	evalue	bitscore	qlen
2ach	2ACH:A	100	337	0	0	1	337	1	337	3.52e-238	652	372
2ach	2ACH:B	100	35	0	0	338	372	1	35	3.18e-15	72.0	372
2ach	4CAA:B	100	33	0	0	339	371	1	33	3.93e-14	68.9	372
2ach	3CAA:B	100	32	0	0	339	370	1	32	1.89e-13	67.0	372
2ach	1AS4:B	100	32	0	0	340	371	2	33	1.92e-13	67.0	372
1qlpa	8API:A	100	336	0	0	1	336	5	340	3.46e-241	662	372
1hle	1HLE:B	100	31	0	0	345	375	1	31	3.88e-14	68.9	375
1ovaa	1UHG:D	100	385	0	0	1	385	1	385	1.11e-272	742	385
1a7ca	9PAI:B	100	32	0	0	333	364	2	33	7.65e-15	70.9	364
1sek	1SEK:A	100	376	0	0	1	376	1	376	2.81e-266	725	376
