qseqid	sseqid	pident	length	mismatch	gapopen	qstart	qend	sstart	send	evalue	bitscore	qlen
MMP14_HUMAN/118-284	1BQQ:M	100	167	0	0	1	167	5	171	1.42e-129	362	167
B2R6P3_HUMAN/118-284	1BQQ:M	100	167	0	0	1	167	5	171	1.42e-129	362	167
Q6X810_FELCA/1-113	1RM8:A	100	113	0	0	1	113	51	163	4.14e-84	245	113
MMP16_HUMAN/126-291	1RM8:A	100	166	0	0	1	166	3	168	1.56e-127	357	166
D2HB19_AILME/84-249	1RM8:A	100	166	0	0	1	166	3	168	1.56e-127	357	166
MMP11_MOUSE/108-262	1HV5:E	100	155	0	0	1	155	8	162	1.74e-118	333	155
Q3UQT3_MOUSE/108-262	1HV5:E	100	155	0	0	1	155	8	162	1.74e-118	333	155
Q6GXA0_MOUSE/1-52	1HV5:E	100	52	0	0	1	52	65	116	1.76e-37	124	52
MMP8_HUMAN/107-262	1BZS:A	100	156	0	0	1	156	9	164	4.99e-116	327	156
B4E0T0_HUMAN/42-197	1BZS:A	100	156	0	0	1	156	9	164	4.99e-116	327	156
A8K9E4_HUMAN/107-262	1BZS:A	100	156	0	0	1	156	9	164	4.99e-116	327	156
B4E0I2_HUMAN/84-239	1BZS:A	100	156	0	0	1	156	9	164	4.99e-116	327	156
C9VZX3_PIG/108-261	1FBL:A	100	154	0	0	1	154	9	162	3.21e-113	328	154
MMP1_PIG/108-261	1FBL:A	100	154	0	0	1	154	9	162	3.21e-113	328	154
B2LYS2_RAT/1-47	1FBL:A	100	47	0	0	1	47	82	128	5.73e-29	107	47
Q53G95_HUMAN/1-130	1SU3:B	100	130	0	0	1	130	102	231	2.20e-91	273	130
B4DW26_HUMAN/127-190	1SU3:B	100	63	0	0	2	64	169	231	2.14e-37	131	64
Q53G96_HUMAN/108-261	1SU3:B	100	154	0	0	1	154	78	231	1.13e-111	326	154
B4DN15_HUMAN/42-195	1SU3:B	100	154	0	0	1	154	78	231	1.13e-111	326	154
Q53FK3_HUMAN/108-261	1SU3:B	100	154	0	0	1	154	78	231	1.13e-111	326	154
Q5TZP0_HUMAN/108-261	1SU3:B	100	154	0	0	1	154	78	231	1.13e-111	326	154
MMP1_HUMAN/108-261	1SU3:B	100	154	0	0	1	154	78	231	1.13e-111	326	154
A5GZ69_HUMAN/19-68	1SU3:B	100	50	0	0	1	50	78	127	1.93e-29	109	50
Q9S5W0_BACFR/143-389	8WEO:A	100	178	0	0	70	247	1	178	9.81e-131	369	247
Q9S5W0_BACFR/143-389	8WEO:B	100	178	0	0	70	247	1	178	9.81e-131	369	247
ENTM_BACFR/154-397	8WEO:A	100	178	0	0	67	244	1	178	8.72e-131	369	244
ENTM_BACFR/154-397	8WEO:B	100	178	0	0	67	244	1	178	8.72e-131	369	244
MMP7_HUMAN/103-259	1MMP:A	100	157	0	0	1	157	9	165	4.79e-119	335	157
MMP7_HUMAN/103-259	1MMP:B	100	157	0	0	1	157	9	165	4.79e-119	335	157
MMP7_HUMAN/103-259	1MMQ:A	100	157	0	0	1	157	9	165	4.79e-119	335	157
MMP7_HUMAN/103-259	1MMR:A	100	157	0	0	1	157	9	165	4.96e-119	335	157
MMP7_HUMAN/103-259	2DDY:A	100	157	0	0	1	157	9	165	6.12e-119	335	157
A5GZ72_HUMAN/1-54	2Y6C:A	100	54	0	0	1	54	45	98	1.37e-32	119	54
MMP20_HUMAN/116-271	2JSD:A	100	156	0	0	1	156	4	159	1.03e-116	329	156
O77632_BOVIN/1-70	1EUB:A	100	70	0	0	1	70	95	164	1.82e-48	153	70
A8K846_HUMAN/112-267	1EUB:A	100	156	0	0	1	156	9	164	5.48e-119	335	156
Q6NWN6_HUMAN/112-267	1EUB:A	100	156	0	0	1	156	9	164	5.48e-119	335	156
